카테고리,기관명,주소,위도,경도
편의점,CU 양재역점,서울특별시 강남구 강남대로 240,37.48525961,127.0344297
편의점,CU 도곡디오빌점,서울특별시 강남구 강남대로 256,37.48648686,127.0335376
편의점,GS25 도곡푸른점,서울특별시 강남구 강남대로 272,37.48777503,127.0328947
편의점,GS25 역삼로점,서울특별시 강남구 강남대로 338,37.49350219,127.0305768
편의점,GS25 강남밀라노점,서울특별시 강남구 강남대로 432,37.50123504,127.0266306
편의점,CU 시론현역점,서울특별시 강남구 강남대로 492,37.50620724,127.0241132
편의점,CU 논현광명점,서울특별시 강남구 강남대로 506,37.50748346,127.0234974
편의점,CU 논현역점,서울특별시 강남구 강남대로 570,37.51284419,127.0209553
편의점,세븐일레븐 신사한남점,서울특별시 강남구 강남대로 632,37.51826795,127.0194674
편의점,세븐일레븐 역삼8호점,서울특별시 강남구 강남대로102길 11,37.50192915,127.0267342
편의점,CU 역삼태양점,서울특별시 강남구 강남대로102길 28,37.50273884,127.0277195
편의점,GS25 강남아트점,서울특별시 강남구 강남대로102길 40,37.50344246,127.0283567
편의점,CU 역삼본점,서울특별시 강남구 강남대로110길 11,37.50406079,127.0257225
편의점,GS25 강남리츠칼튼점,서울특별시 강남구 강남대로110길 26,,
편의점,CU 강남논현타운점,서울특별시 강남구 강남대로114길 25,37.50627876,127.0263187
편의점,GS25 논현영동시장점,서울특별시 강남구 강남대로122길 20,37.50805429,127.0246134
편의점,CU 논현평화점,서울특별시 강남구 강남대로122길 56,37.50914544,127.0273171
편의점,GS25 논현타운점,서울특별시 강남구 강남대로124길 36,37.50931378,127.0255479
편의점,세븐일레븐 논현스타우스점,서울특별시 강남구 강남대로124길 46,37.50976878,127.0259875
편의점,GS25 논현대지본점,서울특별시 강남구 강남대로124길 5,37.50887756,127.0231369
편의점,CU 논현신우점,서울특별시 강남구 강남대로126길 26,37.5097069,127.0246702
편의점,세븐일레븐 논현12호점,서울특별시 강남구 강남대로128길 48,37.5111902,127.0256341
편의점,세븐일레븐 논현흥산점,서울특별시 강남구 강남대로128길 69,37.51228542,127.0270015
편의점,CU 논현우람점,서울특별시 강남구 강남대로128길 81,37.51255108,127.0279975
편의점,GS25 논현금옥점,서울특별시 강남구 강남대로132길 48,37.51294215,127.0250364
편의점,세븐일레븐 논현학나래점,서울특별시 강남구 강남대로136길 7,37.51316577,127.0213751
편의점,GS25 학동공원점,서울특별시 강남구 강남대로146길 27,37.51528611,127.0223203
편의점,GS25 논현행운점,서울특별시 강남구 강남대로150길 11,37.51603864,127.0207965
편의점,GS25 신사현대점,서울특별시 강남구 강남대로152길 5,37.51718377,127.0199928
편의점,GS25 신사코원점,서울특별시 강남구 강남대로162길 41-19,37.52193903,127.0208327
편의점,세븐일레븐 신사5호점,서울특별시 강남구 강남대로162길 45,37.52114396,127.0219842
편의점,세븐일레븐 역삼15호점,서울특별시 강남구 강남대로62길 18,37.49043629,127.0330466
편의점,세븐일레븐 역삼발렌타인점,서울특별시 강남구 강남대로66길 7,37.49191799,127.0314384
편의점,CU 역삼카이로스점,서울특별시 강남구 강남대로66길 8,37.49172,127.0315973
편의점,세븐일레븐 역삼프레스티지점,서울특별시 강남구 강남대로78길 12,37.49484753,127.0303673
편의점,미니스톱 역삼태극점,서울특별시 강남구 강남대로78길 8,37.49469597,127.0300804
편의점,CU 역삼디오빌점,서울특별시 강남구 강남대로84길 33,37.49754613,127.0310934
편의점,CU 역삼우인점,서울특별시 강남구 강남대로84길 8,37.49648078,127.0293268
편의점,GS25 강남신성점,서울특별시 강남구 강남대로94길 14,37.49928805,127.0285722
편의점,CU 역삼강남점,서울특별시 강남구 강남대로94길 23,37.4997484,127.0291962
편의점,CU 역삼진미점,서울특별시 강남구 강남대로94길 88,37.50074995,127.0342848
편의점,GS25 강남와이비엠점,서울특별시 강남구 강남대로94길 9,37.49948395,127.0280969
편의점,GS25 역삼태양점,서울특별시 강남구 강남대로94길 95,37.50111853,127.0349489
편의점,GS25 강남시티힐점,서울특별시 강남구 강남대로98길 17,37.50098146,127.0279645
편의점,GS25 개포미래점,서울특별시 강남구 개포로 244,37.47884736,127.0493015
편의점,세븐일레븐 수도마이스터고점,서울특별시 강남구 개포로 408,37.48514627,127.0626824
편의점,GS25 개포소망점,서울특별시 강남구 개포로 508,37.4892333,127.0679556
편의점,세븐일레븐 개포2호점,서울특별시 강남구 개포로 512,37.48930721,127.0688421
편의점,미니스톱 일원석탑점,서울특별시 강남구 개포로 615,37.49265809,127.0755825
편의점,미니스톱 대청역점,서울특별시 강남구 개포로 623,37.4943412,127.0796478
편의점,CU 일원마루공원점,서울특별시 강남구 개포로 656,37.4950473,127.0844774
편의점,세븐일레븐 강남대청점,서울특별시 강남구 개포로109길 5,37.492322,127.0746012
편의점,CU 일원우성점,서울특별시 강남구 개포로110길 15,37.49324377,127.0791148
편의점,GS25 강남개포점,서울특별시 강남구 개포로15길 10,37.47919097,127.0453231
편의점,CU 개포현대점,서울특별시 강남구 개포로17길 13,37.47957277,127.0463877
편의점,세븐일레븐 포이4호점,서울특별시 강남구 개포로20길 24-16,37.47675129,127.0469804
편의점,세븐일레븐 포이5호점,서울특별시 강남구 개포로24길 6,37.4784324,127.0480822
편의점,GS25 포이그린점,서울특별시 강남구 개포로25길 15,37.47998596,127.0480017
편의점,세븐일레븐 개포본점,서울특별시 강남구 개포로28길 15,37.47807887,127.0499765
편의점,세븐일레븐 수서역사4호점,서울특별시 강남구 광평로 270,37.48738899,127.1018592
편의점,GS25 수서역점,서울특별시 강남구 광평로 280,37.48731916,127.1031081
편의점,세븐일레븐 수서효성점,서울특별시 강남구 광평로 281,37.48812472,127.1031479
편의점,GS25 서울로봇고점,서울특별시 강남구 광평로10길 50,37.48106281,127.0832524
편의점,GS25 세곡1단지점,서울특별시 강남구 광평로34길 55,37.48085608,127.0921723
편의점,CU 수서나산점,서울특별시 강남구 광평로56길 10,37.4870745,127.1037692
편의점,CU 양재스타점,서울특별시 강남구 남부순환로 2615,37.48518529,127.0358837
편의점,GS25 도곡LG점,서울특별시 강남구 남부순환로 2621,37.48526526,127.0366205
편의점,GS25 도곡점,서울특별시 강남구 남부순환로 2730,37.485741,127.044695
편의점,미니스톱 도곡점,서울특별시 강남구 남부순환로 2740,37.48630105,127.0461456
편의점,GS25 S매봉역점,서울특별시 강남구 남부순환로 2744,37.48696113,127.0466146
편의점,미니스톱 도곡역점,서울특별시 강남구 남부순환로 2911,37.49242937,127.057956
편의점,GS25 도곡역점,서울특별시 강남구 남부순환로 2912,37.49070599,127.0561429
편의점,세븐일레븐 대치4호점,서울특별시 강남구 남부순환로 2921,37.49349436,127.059773
편의점,CU 대치선경점,서울특별시 강남구 남부순환로 2936,37.49334891,127.0619166
편의점,CU 세텍전시관점,서울특별시 강남구 남부순환로 3104,37.49567866,127.071912
편의점,GS25 도곡양재점,서울특별시 강남구 남부순환로351길 14,37.48571971,127.0345717
편의점,세븐일레븐 도곡중앙점,서울특별시 강남구 남부순환로351길 30,37.48673134,127.0340338
편의점,세븐일레븐 강남도곡점,서울특별시 강남구 남부순환로359길 6,37.48551912,127.0370506
편의점,세븐일레븐 강남도곡점,서울특별시 강남구 남부순환로361길 6,37.48559401,127.0375707
편의점,세븐일레븐 도곡2호점,서울특별시 강남구 남부순환로365길 38,37.4877624,127.0399513
편의점,CU 매봉산점,서울특별시 강남구 남부순환로377길 6,37.4869614,127.0452338
편의점,세븐일레븐 역삼점,서울특별시 강남구 논현로 312,37.49331224,127.0407828
편의점,CU 역삼형지점,서울특별시 강남구 논현로 327,37.49446178,127.0396046
편의점,GS25 역삼평화점,서울특별시 강남구 논현로 412,37.49696981,127.0390935
편의점,세븐일레븐 역삼11호점,서울특별시 강남구 논현로 546,37.50488851,127.035296
편의점,CU 논현힐타운점,서울특별시 강남구 논현로 641,37.5108369,127.0316294
편의점,GS25 힐탑점,서울특별시 강남구 논현로 642,37.51096902,127.0324979
편의점,GS25 역삼충현점,서울특별시 강남구 논현로102길 4,37.50470009,127.0356442
편의점,CU 역삼황제펭귄점,서울특별시 강남구 논현로106길 31,37.50677597,127.0369393
편의점,GS25 강남갤러리점,서울특별시 강남구 논현로106길 42,37.50685166,127.0377972
편의점,CU 논현조이점,서울특별시 강남구 논현로111길 14,37.50765146,127.0323806
편의점,미니스톱 강남언주점,서울특별시 강남구 논현로113길 5,37.50818527,127.0328363
편의점,GS25 논현평화점,서울특별시 강남구 논현로115길 69,37.5083316,127.0275198
편의점,CU 논현윤진점,서울특별시 강남구 논현로119길 54,37.50812146,127.0291336
편의점,GS25 논현사랑점,서울특별시 강남구 논현로123길 40,37.51078791,127.0287283
편의점,세븐일레븐 학동점,서울특별시 강남구 논현로124길 27,37.51286744,127.0337791
편의점,세븐일레븐 포이3호점,서울특별시 강남구 논현로12길 19-9,37.47532711,127.0486645
편의점,세븐일레븐 논현보람점,서울특별시 강남구 논현로132길 5,37.51499486,127.0309167
편의점,미니스톱 논현보람점,서울특별시 강남구 논현로142길 33,37.51803612,127.0319073
편의점,GS25 논현학동점,서울특별시 강남구 논현로146길 11,37.51822134,127.0299255
편의점,GS25 강남영동점,서울특별시 강남구 논현로149길 50,37.51736384,127.0245216
편의점,CU 신사강남점,서울특별시 강남구 논현로151길 7,37.5202983,127.0274615
편의점,CU 신사중앙점,서울특별시 강남구 논현로152길 38,37.52156291,127.0312448
편의점,GS25 압구정화인점,서울특별시 강남구 논현로155길 8,37.5218841,127.0273062
편의점,세븐일레븐 압구정본점,서울특별시 강남구 논현로157길 26,37.52222256,127.0259252
