카테고리,기관명,주소,위도,경도
주유소,SK에너지㈜  박미주유소,서울특별시 금천구 시흥대로 39-7 (시흥동),37.4372089,126.9024542
주유소,대득에너지(금천셀프주유소),서울특별시 금천구 시흥대로 81 (시흥동),37.44131139,126.9030983
주유소,지에스칼텍스(주) 일신주유소,서울특별시 금천구 시흥대로 118 (시흥동),37.4444979,126.9042876
주유소,백산주유소,서울특별시 금천구 시흥대로 174 (시흥동),37.44971879,126.9029136
주유소,지에스칼텍스(주)내곡주유소,서울특별시 서초구 헌릉로 210 (내곡동),37.45531622,127.0630807
주유소,(주)홈런주유소,서울특별시 서초구 양재대로2길 100-30 (우면동),37.45728246,127.0161685
주유소,지에스칼텍스(주)헌릉로주유소,서울특별시 서초구 헌릉로 177 (내곡동),37.45740396,127.060137
주유소,(주)진우에너지 백운주유소,서울특별시 금천구 시흥대로 282 (독산동),37.45891357,126.8994039
주유소,(주)에이치앤디이 서울만남의광장주유소,서울특별시 서초구 양재대로12길 73-71 (원지동),37.45964464,127.0426249
주유소,현대오일뱅크(주)직영 금천현대셀프주유소,서울특별시 금천구 독산로 147 (시흥동),37.46050444,126.9044471
주유소,대신석유(주) 대우주유소,서울특별시 서초구 양재대로 173 (양재동),37.46283481,127.0371476
주유소,현대주유소,서울특별시 관악구 난곡로 108 (난향동 666-14),37.46497234,126.9196659
주유소,현대오일뱅크㈜ 산성셀프주유소,서울특별시 강남구 헌릉로 730(세곡동),37.46656629,127.1190384
주유소,(주)대농석유 남태령주유소,서울특별시 서초구 과천대로 838 (방배동),37.46683359,126.9879728
주유소,태건석유(주)양재최고주유소,서울특별시 서초구 매헌로 72 (양재동),37.46719158,127.0347155
주유소,㈜보성 세곡주유소,서울특별시 강남구 헌릉로 731 (세곡동),37.46727172,127.1187426
주유소,태봉주유소,서울특별시 서초구 태봉로 117 (우면동),37.46826409,127.0281326
주유소,남서울(경복에너지),서울특별시 금천구 독산로 257 (독산동),37.46984519,126.9024301
주유소,완불주유소(셀프),서울특별시 송파구 송파대로 3(장지동),37.47116453,127.1261351
주유소,에스제이에너지산업(주)개포주유소,서울특별시 강남구 양재대로 339(개포동),37.4723696,127.0517062
주유소,SK에너지㈜대공원주유소,서울특별시 관악구 과천대로 921 (남현동 602-306),37.472657,126.9822289
주유소,SK에너지㈜ 이가주유소,서울특별시 금천구 시흥대로 441 (독산동),37.47315113,126.8978961
주유소,난곡주유소,서울특별시 관악구 난곡로 206 (난곡동 616-1),37.47341197,126.9188013
주유소,현대오일뱅크(주)직영양재현대주유소,서울특별시 서초구 마방로 6 (양재동),37.47355042,127.0396952
주유소,유림주유소,서울특별시 관악구 신림로 176 (서림동 112-47),37.4737677,126.9348256
주유소,방죽주유소,서울특별시 강남구 밤고개로 215(자곡동),37.47499822,127.1068695
주유소,남성대주유소(셀프),서울특별시 송파구 송파대로 52(장지동),37.47537156,127.127533
주유소,스마트위례주유소(셀프),서울특별시 송파구 위례중앙로 43(장지동),37.47541156,127.1322864
주유소,위례드림주유소(셀프),서울특별시 송파구 위례중앙로10(장지동),37.47542181,127.1286336
주유소,가든파이브주유소(셀프),서울특별시 송파구 탄천동로 740(장지동),37.47583755,127.1236412
주유소,㈜화동유업,서울특별시 금천구 시흥대로 484 (독산동),37.47682775,126.8991106
주유소,서일석유㈜락성주유소,서울특별시 관악구 남부순환로 1920 (인헌동 1659-1),37.47722191,126.9623899
주유소,문성골주유소,서울특별시 관악구 문성로 97 (미성동 1477-5),37.47786965,126.9143629
주유소,서울석유(주)양재주유소,서울특별시 서초구 바우뫼로 178 (양재동),37.47808614,127.0395973
주유소,방배동주유소,서울특별시 서초구 효령로 29 (방배동),37.47816413,126.9877632
주유소,SK에너지㈜ 신봉천주유소,서울특별시 관악구 남부순환로 1880 (낙성대동 1663-11),37.4787977,126.9583966
주유소,행운주유소,서울특별시 관악구 남부순환로 1883 (행운동 1679-30),37.47909674,126.9591692
주유소,현대오일뱅크(주)직영 금천제일주유소,서울특별시 금천구 남부순환로 1410 (독산동),37.48020575,126.9075034
주유소,신관주유소,서울특별시 관악구 신림로 290 (서원동 1641-58),37.48041974,126.9306687
주유소,극동유화(주) 전당앞주유소,서울특별시 서초구 남부순환로 2391 (서초동),37.48055264,127.0119784
