카테고리,기관명,주소,위도,경도
마트,시흥중앙철재상가,서울특별시 금천구 시흥대로 46 (시흥동),37.43777673,126.9037818
마트,시흥산업용재유통센타,서울특별시 금천구 시흥대로 109 (시흥동),37.44396227,126.9034306
마트,시흥산업용재유통센터,"서울특별시 금천구 시흥대로 97 (시흥동, 시흥유통상가)",37.44468212,126.9010724
마트,럭키남서울상가,서울특별시 금천구 시흥대로47길 43 (시흥동),37.45065531,126.8989553
마트,시흥중앙시장,서울특별시 금천구 금하로 705 (시흥동),37.45157084,126.9083613
마트,홈플러스 주식회사,"서울특별시 금천구 시흥대로 201, 홈플러스테스테스코(주)시흥점 (시흥동)",37.45197902,126.9007904
마트,홈플러스 시흥점,서울특별시 금천구 시흥대로 201 (시흥동),37.45197902,126.9007904
마트,대명합동시장,서울특별시 금천구 시흥대로52길 70 (시흥동),37.45437594,126.9017137
마트,롯데캐슬 골드파크 2차 마르쉐도르,"서울특별시 금천구 벚꽃로 30 (독산동, 금천롯데캐슬골드파크2차)",37.45822291,126.8937104
마트,롯데쇼핑(주) 금천 독산점,"서울특별시 금천구 시흥대로 291(독산동, 금천롯데캐슬골드파크3차)",37.45995605,126.8966992
마트,롯데캐슬 골드파크 4차 마르쉐도르 960,"서울특별시 금천구 시흥대로 315, 금천롯데캐슬골드파크4차 (독산동)",37.46099111,126.8962652
마트,코스트코코리아,서울특별시 서초구 양재대로 159 (양재동),37.46197321,127.0361528
마트,(주)이마트 양재점,"서울특별시 서초구 매헌로 16 (양재동,하이브랜드 지하1층)",37.46246735,127.0369479
마트,하이브랜드,서울특별시 서초구 매헌로 16 (양재동),37.46246735,127.0369479
마트,유창상가,서울특별시 금천구 범안로 1209 (독산동),37.46682635,126.8962825
마트,홈플러스(주) 금천점,"서울특별시 금천구 시흥대로 391, 홈플러스 금천점 (독산동)",37.46866385,126.8968853
마트,삼성테스코(주)홈플러스 금천점,서울특별시 금천구 시흥대로 391 (독산동),37.46866385,126.8968853
마트,삼성테스코(주)홈플러스 금천점,서울특별시 금천구 시흥대로 391 (독산동),37.46866385,126.8968853
마트,시티렉스,서울특별시 금천구 시흥대로 399 (독산동),37.46935918,126.8970019
마트,우림시장,서울특별시 관악구 난곡로26길 4 (신림동),37.47029785,126.9204441
마트,일성트루엘상가,서울특별시 관악구 신림로23길 16 (신림동),37.47048117,126.9344768
마트,롯데쇼핑(주) 롯데마트맥스 금천점,서울특별시 금천구 두산로 71 (독산동),37.47068103,126.8956481
마트,홈플러스 서울남현점,서울특별시 관악구 과천대로 909 (남현동),37.4714704,126.9824665
마트,(주)천성세이브마트,서울특별시 관악구 난곡로 220 (신림동),37.47428544,126.9180585
마트,원당종합시장,서울특별시 관악구 남부순환로248길 35 (봉천동),37.47441669,126.965908
마트,홈플러스(주)익스프레스 가산점,서울특별시 금천구 가산로 106 (가산동),37.47544481,126.8936809
마트,신림현대종합상가,서울특별시 관악구 신림로29길 8 (신림동),37.4755685,126.9328111
마트,가산퍼블릭 상업시설,서울특별시 금천구 디지털로 178 (가산동),37.47643941,126.8873317
