neighborhood_id,board_type
1,free
2,free
3,free
4,free
5,free
6,free
7,free
8,free
9,free
10,free
11,free
12,free
13,free
14,free
15,free
16,free
17,free
18,free
19,free
20,free
21,free
22,free
23,free
24,free
25,free
26,free
27,free
28,free
29,free
30,free
31,free
32,free
33,free
34,free
35,free
36,free
37,free
38,free
39,free
40,free
41,free
42,free
43,free
44,free
45,free
46,free
47,free
48,free
49,free
50,free
51,free
52,free
53,free
54,free
55,free
56,free
57,free
58,free
59,free
60,free
61,free
62,free
63,free
64,free
65,free
66,free
67,free
68,free
69,free
70,free
71,free
72,free
73,free
74,free
75,free
76,free
77,free
78,free
79,free
80,free
81,free
82,free
83,free
84,free
85,free
86,free
87,free
88,free
89,free
90,free
91,free
92,free
93,free
94,free
95,free
96,free
97,free
98,free
99,free
100,free
101,free
102,free
103,free
104,free
105,free
106,free
107,free
108,free
109,free
110,free
111,free
112,free
113,free
114,free
115,free
116,free
117,free
118,free
119,free
120,free
121,free
122,free
123,free
124,free
125,free
126,free
127,free
128,free
129,free
130,free
131,free
132,free
133,free
134,free
135,free
136,free
137,free
138,free
139,free
140,free
141,free
142,free
143,free
144,free
145,free
146,free
147,free
148,free
149,free
150,free
151,free
152,free
153,free
154,free
155,free
156,free
157,free
158,free
159,free
160,free
161,free
162,free
163,free
164,free
165,free
166,free
167,free
168,free
169,free
170,free
171,free
172,free
173,free
174,free
175,free
176,free
177,free
178,free
179,free
180,free
181,free
182,free
183,free
184,free
185,free
186,free
187,free
188,free
189,free
190,free
191,free
192,free
193,free
194,free
195,free
196,free
197,free
198,free
199,free
200,free
201,free
202,free
203,free
204,free
205,free
206,free
207,free
208,free
209,free
210,free
211,free
212,free
213,free
214,free
215,free
216,free
217,free
218,free
219,free
220,free
221,free
222,free
223,free
224,free
225,free
226,free
227,free
228,free
229,free
230,free
231,free
232,free
233,free
234,free
235,free
236,free
237,free
238,free
239,free
240,free
241,free
242,free
243,free
244,free
245,free
246,free
247,free
248,free
249,free
250,free
251,free
252,free
253,free
254,free
255,free
256,free
257,free
258,free
259,free
260,free
261,free
262,free
263,free
264,free
265,free
266,free
267,free
268,free
269,free
270,free
271,free
272,free
273,free
274,free
275,free
276,free
277,free
278,free
279,free
280,free
281,free
282,free
283,free
284,free
285,free
286,free
287,free
288,free
289,free
290,free
291,free
292,free
293,free
294,free
295,free
296,free
297,free
298,free
299,free
300,free
301,free
302,free
303,free
304,free
305,free
306,free
307,free
308,free
309,free
310,free
311,free
312,free
313,free
314,free
315,free
316,free
317,free
318,free
319,free
320,free
321,free
322,free
323,free
324,free
325,free
326,free
327,free
328,free
329,free
330,free
331,free
332,free
333,free
334,free
335,free
336,free
337,free
338,free
339,free
340,free
341,free
342,free
343,free
344,free
345,free
346,free
347,free
348,free
349,free
350,free
351,free
352,free
353,free
354,free
355,free
356,free
357,free
358,free
359,free
360,free
361,free
362,free
363,free
364,free
365,free
366,free
367,free
368,free
369,free
370,free
371,free
372,free
373,free
374,free
375,free
376,free
377,free
378,free
379,free
380,free
381,free
382,free
383,free
384,free
385,free
386,free
387,free
388,free
389,free
390,free
391,free
392,free
393,free
394,free
395,free
396,free
397,free
398,free
399,free
400,free
401,free
402,free
403,free
404,free
405,free
406,free
407,free
408,free
409,free
410,free
411,free
412,free
413,free
414,free
415,free
416,free
417,free
418,free
419,free
420,free
421,free
422,free
423,free
424,free
425,free
426,free
427,free
428,free
429,free
430,free
431,free
432,free
433,free
434,free
435,free
436,free
437,free
438,free
439,free
440,free
441,free
442,free
443,free
444,free
445,free
446,free
447,free
448,free
449,free
450,free
451,free
452,free
453,free
454,free
455,free
456,free
457,free
458,free
459,free
460,free
461,free
462,free
463,free
464,free
465,free
466,free
467,free
468,free
469,free
470,free
471,free
472,free
473,free
474,free
475,free
476,free
477,free
478,free
479,free
480,free
481,free
482,free
483,free
484,free
485,free
486,free
487,free
488,free
489,free
490,free
491,free
492,free
493,free
494,free
495,free
496,free
497,free
498,free
499,free
500,free
501,free
502,free
503,free
504,free
505,free
506,free
507,free
508,free
509,free
510,free
511,free
512,free
513,free
514,free
515,free
516,free
517,free
518,free
519,free
520,free
521,free
522,free
523,free
524,free
525,free
526,free
527,free
528,free
529,free
530,free
531,free
532,free
533,free
534,free
535,free
536,free
537,free
538,free
539,free
540,free
541,free
542,free
543,free
544,free
545,free
546,free
547,free
548,free
549,free
550,free
551,free
552,free
553,free
554,free
555,free
556,free
557,free
558,free
559,free
560,free
561,free
562,free
563,free
564,free
565,free
566,free
567,free
568,free
569,free
570,free
571,free
572,free
573,free
574,free
575,free
576,free
577,free
578,free
579,free
580,free
581,free
582,free
583,free
584,free
585,free
586,free
587,free
588,free
589,free
590,free
591,free
592,free
593,free
594,free
595,free
596,free
597,free
598,free
599,free
