gu,dong,lat,lng
1,개포1동,37.481925,127.057439
1,개포2동,37.489766,127.069056
1,개포4동,37.478833,127.051599
1,개포동,37.47826,127.052024
1,논현1동,37.511498,127.028552
1,논현2동,37.517353,127.037164
1,논현동,37.513093,127.031353
1,대치1동,37.493236,127.056687
1,대치2동,37.502252,127.064162
1,대치4동,37.49975,127.057747
1,대치동,37.501711,127.057851
1,도곡1동,37.490945,127.038475
1,도곡2동,37.483818,127.046346
1,도곡동,37.486509,127.040738
1,삼성1동,37.514315,127.062824
1,삼성2동,37.511399,127.046255
1,삼성동,37.512792,127.053085
1,세곡동,37.464369,127.104583
1,세곡동,37.466494,127.103021
1,수서동,37.485881,127.096706
1,수서동,37.485767,127.098137
1,신사동,37.523807,127.026492
1,신사동,37.522893,127.028589
1,압구정동,37.530734,127.028461
1,압구정동,37.528752,127.031766
1,역삼1동,37.495361,127.033058
1,역삼2동,37.49604,127.04679
1,역삼동,37.500335,127.037596
1,율현동,37.47145,127.107251
1,일원1동,37.491887,127.087982
1,일원2동,37.492172,127.073696
1,일원동,37.491326,127.083799
1,일원본동,37.48336,127.08648
1,자곡동,37.476796,127.100387
1,청담동,37.524399,127.050457
1,청담동,37.523404,127.046858
2,강일동,37.567438,127.173364
2,강일동,37.569204,127.17162
2,고덕동,37.561068,127.160582
2,고덕제1동,37.53012,127.123858
2,고덕제2동,37.53012,127.123858
2,길동,37.539616,127.145914
2,길동,37.539123,127.143163
2,둔촌동,37.531157,127.142891
2,둔촌제1동,37.53012,127.123858
2,둔촌제2동,37.53012,127.123858
2,명일동,37.549276,127.147555
2,명일제1동,37.53012,127.123858
2,명일제2동,37.53012,127.123858
2,상일동,37.550583,127.168797
2,상일동,37.54822,127.17063
2,성내동,37.531338,127.129174
2,성내제1동,37.53012,127.123858
2,성내제2동,37.53012,127.123858
2,성내제3동,37.53012,127.123858
2,암사동,37.552497,127.13301
2,암사제1동,37.53012,127.123858
2,암사제2동,37.53012,127.123858
2,암사제3동,37.53012,127.123858
2,천호동,37.543676,127.131748
2,천호제1동,37.53012,127.123858
2,천호제2동,37.53012,127.123858
2,천호제3동,37.53012,127.123858
3,미아동,37.621106,127.023865
3,미아동,37.621298,127.024902
3,번1동,37.637825,127.028802
3,번2동,37.632572,127.038693
3,번3동,37.625852,127.046619
3,번동,37.635123,127.032072
3,삼각산동,37.616702,127.017511
3,삼양동,37.627368,127.0183
3,송중동,37.616062,127.033819
3,송천동,37.618268,127.023845
3,수유1동,37.630309,127.017684
3,수유2동,37.644753,127.019941
3,수유3동,37.638832,127.023089
3,수유동,37.639388,127.017183
3,우이동,37.663286,127.000508
3,우이동,37.658785,127.01119
3,인수동,37.641485,127.010591
4,가양동,37.568238,126.845059
4,가양제1동,37.550968,126.849614
4,가양제2동,37.550968,126.849614
4,가양제3동,37.550968,126.849614
4,개화동,37.582069,126.801198
4,공항동,37.554779,126.810453
4,공항동,37.558805,126.813297
4,과해동,37.560661,126.794953
4,내발산동,37.552616,126.83573
4,등촌동,37.551325,126.858411
4,등촌제1동,37.550968,126.849614
4,등촌제2동,37.550968,126.849614
4,등촌제3동,37.550968,126.849614
4,마곡동,37.566092,126.830395
4,발산제1동,37.550968,126.849614
4,방화동,37.569138,126.812192
4,방화제1동,37.550968,126.849614
4,방화제2동,37.550968,126.849614
4,방화제3동,37.550968,126.849614
4,염창동,37.554552,126.871764
4,염창동,37.551366,126.8713
4,오곡동,37.554615,126.775768
4,오쇠동,37.541148,126.796575
4,외발산동,37.546721,126.821871
4,우장산동,37.548198,126.841792
4,화곡동,37.538358,126.847336
4,화곡본동,37.544092,126.847626
4,화곡제1동,37.550968,126.849614
4,화곡제2동,37.550968,126.849614
4,화곡제3동,37.550968,126.849614
4,화곡제4동,37.550968,126.849614
4,화곡제6동,37.550968,126.849614
4,화곡제8동,37.550968,126.849614
5,낙성대동,37.476281,126.958369
5,난곡동,37.471024,126.921689
5,난향동,37.461554,126.918807
