카테고리,기관명,주소,위도,경도
세무서,서울지방국세청,서울특별시 종로구 종로5길 86(수송동),37.57410276,126.9799674
세무서,강남세무서,서울특별시 강남구 학동로 425(청담동),37.51871603,127.0469585
세무서,강동세무서,서울특별시 강동구 천호대로 1139(길동),37.53459594,127.1381166
세무서,강서세무서,서울특별시 강서구 마곡서1로 60(마곡동),37.56213928,126.8215026
세무서,관악세무서,서울특별시 관악구 문성로 187(신림동),37.47933644,126.9243295
세무서,구로세무서,서울특별시 영등포구 경인로 778(문래동 1가),37.51361958,126.8994697
세무서,금천세무서,서울특별시 금천구 시흥대로152길 11-21(독산동),37.47801956,126.8997992
세무서,남대문세무서,서울특별시 중구 삼일대로 340(저동1가) 나라키움저동빌딩,37.5650468,126.9881845
세무서,노원세무서,서울특별시 도봉구 노해로69길 14 (창동),37.65345168,127.0515046
세무서,도봉세무서,서울특별시 강북구 도봉로 117 (미아동),37.61975323,127.0282467
세무서,동대문세무서,서울특별시 동대문구 약령시로 159 (청량리1동),37.58324212,127.0478161
세무서,동작세무서,서울특별시 영등포구 대방천로 259 (신길동),37.49908057,126.9198001
세무서,마포세무서,서울특별시 마포구 독막로 234(신수동),37.54652242,126.9394936
세무서,반포세무서,서울특별시 서초구 방배로163 (방배동),37.48807484,126.9930124
세무서,삼성세무서,서울특별시 강남구 테헤란로 114(역삼동),37.49828846,127.0301032
세무서,서대문세무서,서울특별시 서대문구 세무서길 11 (홍제동 251),37.5886876,126.9452567
세무서,서초세무서,서울특별시 강남구 테헤란로 114 (역삼동) 역삼빌딩 3~4층/ 9층 조사과/ 10층 납세자보호담당관,37.49828846,127.0301032
세무서,성동세무서,서울특별시 성동구 광나루로 297(송정동),37.54850152,127.0628187
세무서,성북세무서,서울특별시 성북구 삼선교로16길 13,37.58790069,127.0109264
세무서,송파세무서,서울특별시 송파구 강동대로 62 (풍납동),37.52669065,127.1135015
세무서,양천세무서,서울특별시 양천구 목동동로 165 (신정동),37.52054181,126.8699377
세무서,역삼세무서,서울특별시 강남구 테헤란로 114(역삼동) 역삼빌딩 7/ 8층 및 9층 일부,37.49828846,127.0301032
세무서,영등포세무서,서울특별시 영등포구 선유동1로 38(당산동3가),37.52530828,126.8927976
세무서,용산세무서,서울특별시 용산구 서빙고로24길15(한강로3가),37.5233032,126.9687627
세무서,은평세무서,서울특별시 은평구 서오릉로7(응암동84-5),37.60182071,126.9263548
세무서,잠실세무서,서울특별시 송파구 강동대로 62(풍납2동 388-6),37.52669065,127.1135015
세무서,종로세무서,서울특별시 종로구 삼일대로30길22,37.57386581,126.9889562
세무서,중랑세무서,서울특별시 중랑구 망우로 176(상봉동 137-1),37.59270612,127.0724448
세무서,중부세무서,서울특별시 중구 퇴계로 170 (남학동 12-3),37.56074026,126.9907276
