카테고리,기관명,주소,위도,경도
병원,으라차차마취통증의학과의원,"서울특별시 금천구 시흥대로 8, 3층 301,302,303호 (시흥동, 아르스파크)",37.43461734,126.9034807
병원,김종훈치과의원,"서울특별시 금천구 시흥대로2길 8, (시흥동)",37.43466276,126.9038168
병원,한양의원,"서울특별시 금천구 시흥대로 82, 2층 (시흥동)",37.44134841,126.9038555
병원,다소담한의원,"서울특별시 금천구 시흥대로 90, 2층 (시흥동, 정송빌딩)",37.44211065,126.9039442
병원,김재은의원,"서울특별시 금천구 시흥대로 92, (시흥동)",37.44227555,126.9040641
병원,카톨릭의원,"서울특별시 금천구 시흥대로 104, 4층 (시흥동)",37.44334502,126.9041426
병원,청계산트리니티의원,"서울특별시 서초구 원터2길 7, 1층 (원지동)",37.44399931,127.0560948
병원,청계산트리니티의원,"서울특별시 서초구 원터2길 4, 2층 (원지동)",37.44425757,127.0564086
병원,시흥연세치과의원,"서울특별시 금천구 시흥대로 97, A동 309호 (시흥동, 시흥유통상가 )",37.44468212,126.9010724
병원,느티나무치과의원,"서울특별시 서초구 청룡마을길 4-3, 1층 (신원동)",37.44560635,127.0581595
병원,사랑이가득한치과의원,"서울특별시 서초구 청계산로 203, 303호 (신원동)",37.44732495,127.0562964
병원,연세가정의원,"서울특별시 금천구 시흥대로 153, (시흥동)",37.44764443,126.9028589
병원,임홍준한의원,"서울특별시 서초구 청계산로 195, 2층 207호 (신원동, 프라임시티)",37.44792593,127.0557274
병원,한국치과의원,"서울특별시 서초구 청계산로 195, 2층 201호 (신원동, 프라임시티)",37.44792593,127.0557274
병원,내곡소아청소년과의원,서울특별시 서초구 청계산로 189,37.4482584,127.0553463
병원,대들보의원,"서울특별시 서초구 청계산로 189, 내곡드림씨티2 3층 304호 (신원동)",37.4482584,127.0553463
병원,대들보한의원,"서울특별시 서초구 청계산로 189, 내곡드림씨티2 3층 304호 (신원동)",37.4482584,127.0553463
병원,연세내곡치과의원,"서울특별시 서초구 청계산로 189 (신원동, 내곡드림시티2, 407호)",37.4482584,127.0553463
병원,열린치과의원,"서울특별시 금천구 시흥대로 167, 3층 (시흥동)",37.4488043,126.9024155
병원,경희스마일한의원,"서울특별시 금천구 시흥대로 164, 401호 (시흥동, 153플레이스빌딩)",37.44888336,126.9032311
병원,삼성서울치과의원,"서울특별시 금천구 금하로 816, 2층 (시흥동, 벽산5단지아파트 제1상가)",37.44977863,126.9200208
병원,의사랑의원,"서울특별시 금천구 금하로 816, 상가동 212~217호 (시흥동, 벽산5단지아파트)",37.44977863,126.9200208
병원,의사랑의원,"서울특별시 금천구 금하로 816, 상가1동 2층 212~217호 (시흥동, 벽산5단지아파트)",37.44977863,126.9200208
병원,연세안과의원,서울특별시 금천구 금하로 762,37.44988637,126.9143319
병원,연세스마일치과의원,서울특별시 금천구 금하로 749,37.45021537,126.9131557
병원,지앤미치과의원,"서울특별시 금천구 금하로 747-1, 3층 (시흥동,리빙스톤하우스)",37.45024075,126.9128708
병원,김재연내과의원,"서울특별시 금천구 금하로 763, 201호 (시흥동, 벽산2차 중심상가)",37.45034526,126.9145883
병원,호수한의원,"서울특별시 금천구 금하로 763 (시흥동, 벽산아파트 중심상가 309~310)",37.45034526,126.9145883
병원,우리치과의원,"서울특별시 금천구 금하로 763, 209호 (시흥동, 벽산아파트중심상가)",37.45034526,126.9145883
병원,우정이비인후과의원,"서울특별시 금천구 금하로 763, 벽산중심상가 3층 301호 (시흥동)",37.45034526,126.9145883
병원,금천보스톤치과의원,"서울특별시 금천구 금하로 720, 302호 (시흥동, 에벤에셀프라자)",37.45044256,126.9094817
병원,금천연세정형외과의원,"서울특별시 금천구 금하로 720, 에벤에셀프라자 204호 (시흥동)",37.45044256,126.9094817
병원,내일내과의원,"서울특별시 금천구 금하로 720, 에벤에셀프라자 304,305,307,308호 (시흥동)",37.45044256,126.9094817
병원,서울메디이비인후과의원,"서울특별시 금천구 금하로 720, 2층 203호 (시흥동, 에벤에셀프라자)",37.45044256,126.9094817
병원,에벤에셀박소아청소년과의원,"서울특별시 금천구 금하로 720, 208호 (시흥동)",37.45044256,126.9094817
병원,이성림 산부인과의원,서울특별시 금천구 금하로 720 (시흥동),37.45044256,126.9094817
병원,현대재활의학과의원,서울특별시 금천구 금하로 720 (시흥동),37.45044256,126.9094817
병원,벽산한의원,"서울특별시 금천구 금하로 724, 2층 (시흥동)",37.45045137,126.9100449
병원,한양내과의원,서울특별시 금천구 금하로 724 (시흥동),37.45045137,126.9100449
병원,미사랑의원,"서울특별시 금천구 시흥대로 187, 삼우빌딩 1,2,3층 (시흥동)",37.45052117,126.9017526
병원,현대연합의원,"서울특별시 금천구 시흥대로41길 91, 202호 (시흥동)",37.45052999,126.9003363
병원,유현마취통증의학과의원,"서울특별시 금천구 시흥대로 189, 3층 306~310호 (시흥동)",37.4506395,126.9014625
병원,부강한의원,"서울특별시 금천구 금하로24길 5, 2층 (시흥동)",37.45076468,126.9086749
병원,소구영치과의원,"서울특별시 금천구 탑골로 2, 2층 (시흥동)",37.45077145,126.9102249
병원,은행나무한의원,서울특별시 금천구 탑골로 1 (시흥동),37.4508651,126.9097932
병원,연세이비인후과의원,"서울특별시 금천구 금하로 710, 2층 (시흥동)",37.45088534,126.9086886
병원,마스터연세정형외과의원,"서울특별시 금천구 시흥대로 190, 이현빌딩 2,3층 (시흥동)",37.4508935,126.9024432
병원,우리비뇨기과의원,서울특별시 금천구 금하로 715-1 (시흥동),37.4509264,126.9094834
병원,이민영라임치과의원,"서울특별시 금천구 시흥대로 193, 아람아이씨티타워 3층 306~309호 (시흥동)",37.45099327,126.9012779
병원,참편한내과의원,"서울특별시 금천구 시흥대로 193, 아람아이씨티타워 301-305호 (시흥동)",37.45099327,126.9012779
병원,경희한의원,"서울특별시 금천구 시흥대로 192, 3층 303호 (시흥동)",37.45109857,126.902336
병원,박재관치과의원,"서울특별시 금천구 시흥대로 192, (시흥동)",37.45109857,126.902336
병원,대윤한의원,"서울특별시 금천구 금하로 711, 3층 (시흥동)",37.45112516,126.9090097
병원,미소나눔치과의원,"서울특별시 금천구 금하로 711, 4층 (시흥동)",37.45112516,126.9090097
병원,본치과의원,"서울특별시 금천구 은행나무로 51, 2층 (시흥동)",37.45115608,126.9080905
병원,김승국소아과의원,"서울특별시 금천구 금하로 707, (시흥동)",37.45125586,126.9087293
병원,박사한한의원,"서울특별시 금천구 탑골로2길 8, 2층 (시흥동)",37.45128816,126.9107839
병원,자연한의원,"서울특별시 금천구 금하로23길 4, 2층 (시흥동)",37.45135602,126.9087989
병원,경희정우한의원,"서울특별시 금천구 시흥대로 196, 5층 (시흥동, 세진빌딩)",37.45140375,126.9022383
병원,봄플란트치과의원,"서울특별시 금천구 시흥대로 196, 301호 (시흥동)",37.45140375,126.9022383
병원,서울훈치과의원,서울특별시 금천구 시흥대로 196,37.45140375,126.9022383
병원,장원치과의원,"서울특별시 금천구 금하로 698, 2층 (시흥동)",37.45148659,126.9074225
병원,신진한의원,"서울특별시 금천구 금하로 701, (시흥동)",37.45155991,126.9079694
병원,금천근본튼튼의원,"서울특별시 금천구 금하로 705, (주)남성프라자 2층 (시흥동)",37.45157084,126.9083613
병원,서울올치과의원,"서울특별시 금천구 금하로 705, 2층 3호 (시흥동)",37.45157084,126.9083613
병원,성모정소아청소년과의원,"서울특별시 금천구 금하로 705, 2층 206호 (시흥동, 플라자 카멜리아)",37.45157084,126.9083613
병원,김병수이비인후과의원,"서울특별시 금천구 시흥대로 198, (시흥동,두성빌딩)",37.45160777,126.9021563
병원,진성한의원,서울특별시 금천구 시흥대로 198 &#40;시흥동&#41;,37.45160777,126.9021563
병원,서울강한신경외과의원,"서울특별시 금천구 시흥대로 202, 대의빌딩 2층 (시흥동)",37.45196571,126.9021163
병원,비앤이치과의원,서울특별시 금천구 시흥대로 201 (시흥동),37.45197902,126.9007904
병원,명제유정한의원,"서울특별시 금천구 시흥대로 204, 성보빌딩 301호 (시흥동)",37.45222709,126.9018968
병원,새항외과의원,"서울특별시 금천구 시흥대로 204, 5층 (시흥동, 성보빌딩)",37.45222709,126.9018968
병원,유정한의원,"서울특별시 금천구 시흥대로 204, 3층 (시흥동)",37.45222709,126.9018968
병원,푸른꿈나무치과의원,"서울특별시 금천구 시흥대로 204, 성보빌딩 201,202,302호 (시흥동)",37.45222709,126.9018968
병원,고상덕산부인과의원,"서울특별시 금천구 독산로14길 3, (시흥동)",37.45239895,126.9069621
병원,(재)천주교서울대교구유지재단 전진상의원,"서울특별시 금천구 탑골로3가길 22, 전진상사회복지관 (시흥동)",37.45258801,126.9107337
병원,병인한의원시흥점,"서울특별시 금천구 시흥대로 211, 4층 (시흥동, 삼성빌딩)",37.45270273,126.9009173
병원,서울식플란트치과의원,"서울특별시 금천구 시흥대로 211, 2층 (시흥동)",37.45270273,126.9009173
병원,센트럴안과의원,"서울특별시 금천구 시흥대로 211 (시흥동, 삼성빌딩)",37.45270273,126.9009173
병원,동인당한의원,서울특별시 금천구 금하로 677  (시흥동),37.45273951,126.9055678
병원,조윤희산부인과의원,"서울특별시 금천구 시흥대로 212, 2층 (시흥동)",37.45277308,126.9016494
병원,은행나무사랑한의원,"서울특별시 금천구 독산로 61, 2,3층 (시흥동)",37.45284369,126.9057111
병원,시흥우리들소아청소년과의원,"서울특별시 금천구 시흥대로 214, 402호 (시흥동, 비즈메디빌딩)",37.45304289,126.9017122
병원,우리내과의원,"서울특별시 금천구 시흥대로 214 (시흥동, 비즈메드)",37.45304289,126.9017122
병원,고은나라의원,"서울특별시 금천구 시흥대로 214, 6층 (시흥동, 비즈메드)",37.45304289,126.9017122
병원,굿아이금천이안과의원,"서울특별시 금천구 시흥대로 214, 501호 (시흥동, 비즈메드)",37.45304289,126.9017122
병원,나래정신과의원,"서울특별시 금천구 시흥대로 214, 602호 (시흥동, 비즈메디빌딩)",37.45304289,126.9017122
병원,베스트e치과의원,"서울특별시 금천구 시흥대로 214, 3층 302,303호 (시흥동, 비즈메드빌딩)",37.45304289,126.9017122
병원,보성치과의원,"서울특별시 금천구 시흥대로 214 (시흥동, 비즈메디빌딩)",37.45304289,126.9017122
병원,삼성서울정형외과의원,"서울특별시 금천구 시흥대로 214 (시흥동, 비즈메드빌딩)",37.45304289,126.9017122
병원,삼성이비인후과의원,"서울특별시 금천구 시흥대로 214, 비즈메드빌딩 503호 (시흥동)",37.45304289,126.9017122
병원,평강한의원,"서울특별시 금천구 시흥대로 214, 403호 (시흥동, 시흥메드위즈빌딩)",37.45304289,126.9017122
병원,평강한의원,"서울특별시 금천구 시흥대로 214, 비즈메드빌딩 403호 (시흥동)",37.45304289,126.9017122
병원,서초주니어치과의원,"서울특별시 서초구 청계산로9길 70, 내곡 SH 플라자 2층 208호 (내곡동)",37.45346238,127.0597967
병원,청계내과의원,"서울특별시 서초구 청계산로9길 70, 내곡 SH플라자 2층 204,205호 (내곡동)",37.45346238,127.0597967
병원,김시효의원,"서울특별시 서초구 본마을4길 1, 1층 (신원동)",37.45349889,127.055125
병원,김시효한의원,"서울특별시 서초구 본마을4길 1, 1층 (신원동)",37.45349889,127.055125
병원,김동기치과의원,"서울특별시 금천구 시흥대로 220, (시흥동)",37.45355568,126.9014113
병원,원효당한의원,서울특별시 금천구 금하로 657 (시흥동),37.45363557,126.9040008
병원,배비뇨기과의원,"서울특별시 금천구 시흥대로 222, 2층 (시흥동)",37.45371766,126.9012844
병원,금천삼성본정형외과의원,"서울특별시 금천구 시흥대로 225, 5층 501~506호 (시흥동)",37.45378942,126.9004619
병원,서울소나무치과의원,"서울특별시 금천구 시흥대로 225, 3층 301,303호 (시흥동)",37.45378942,126.9004619
병원,연세탑내과의원,"서울특별시 금천구 시흥대로 225, 제이타워 4층 (시흥동)",37.45378942,126.9004619
병원,이과수비뇨기과의원,"서울특별시 금천구 시흥대로 225, 6층 601~603호 (시흥동)",37.45378942,126.9004619
병원,김안과의원,"서울특별시 금천구 시흥대로 224, 금천리메인시티 503,504,505,508호 (시흥동)",37.45393842,126.9013962
병원,리더스탑치과의원,"서울특별시 금천구 시흥대로 224, 금천리메인시티 3층 301,302,303호 (시흥동)",37.45393842,126.9013962
병원,미래산부인과의원,"서울특별시 금천구 시흥대로 224, 금천리메인시티 2층 206~207호 (시흥동)",37.45393842,126.9013962
병원,바로봄한의원,"서울특별시 금천구 시흥대로 224, 금천리메인시티 304호 (시흥동)",37.45393842,126.9013962
병원,상쾌한이비인후과의원,"서울특별시 금천구 시흥대로 224, 606호 (시흥동)",37.45393842,126.9013962
병원,연세세란피부과의원,"서울특별시 금천구 시흥대로 224, 금천리메인시티 604,605호 (시흥동)",37.45393842,126.9013962
병원,연세조내과의원,"서울특별시 금천구 시흥대로 224, 4층 406,407호 (시흥동)",37.45393842,126.9013962
병원,정윤정형외과의원,"서울특별시 금천구 시흥대로 224, 금천리메인시티 4층 401~405, 408호 (시흥동)",37.45393842,126.9013962
병원,보스턴인필란트치과의원,"서울특별시 금천구 시흥대로 229, 3층 (시흥동)",37.45412416,126.900372
병원,강피부과의원,서울특별시 금천구 시흥대로 228,37.45422542,126.9012164
병원,금천연세치과의원,"서울특별시 금천구 시흥대로 228, 2층 (시흥동)",37.45422542,126.9012164
병원,연세수마취통증의학과의원,"서울특별시 금천구 시흥대로 228, 2층 (시흥동, 동경빌딩)",37.45422542,126.9012164
병원,고려고든정형외과의원,"서울특별시 금천구 시흥대로 230, 4층 (시흥동, 서평빌딩)",37.45442844,126.9012483
병원,더바른플란트치과의원,"서울특별시 금천구 시흥대로 230 (시흥동, 서평빌딩)",37.45442844,126.9012483
병원,밝은내일내과의원,"서울특별시 금천구 시흥대로 230, 3층 303호 (시흥동, 서평빌딩)",37.45442844,126.9012483
병원,서울대효병원,"서울특별시 금천구 시흥대로 230, 서평빌딩 5,6,7층 (시흥동)",37.45442844,126.9012483
병원,연세비뇨기과의원,"서울특별시 금천구 시흥대로 232, 2층 (시흥동)",37.45460524,126.9009455
병원,임안과의원,"서울특별시 금천구 시흥대로 232, (시흥동)",37.45460524,126.9009455
병원,정한의원,"서울특별시 금천구 금하로 632, 2층 (시흥동)",37.45464972,126.9013386
병원,맑은미소치과의원,"서울특별시 금천구 금하로 630, 2층 (시흥동)",37.45466748,126.9011343
병원,아이숲소아청소년과의원,"서울특별시 서초구 헌릉로8길 45 (내곡동, 서초 포레스타 2단지)",37.45468985,127.0625466
병원,청아치과의원,"서울특별시 금천구 금하로 639, (시흥동)",37.45474398,126.9022283
병원,세종치과의원,"서울특별시 금천구 시흥대로 235, 3층 (시흥동)",37.45480636,126.9001033
병원,경희남도한의원,서울특별시 금천구 금하로 633-1 (시흥동),37.45492031,126.9016849
병원,금천서울치과의원,서울특별시 금천구 금하로 635 (시흥동),37.45492567,126.9018527
병원,시흥치과의원,"서울특별시 금천구 금하로 631, (시흥동)",37.45493158,126.9012578
병원,예인치과의원,서울특별시 금천구 금하로 633 (시흥동),37.45494381,126.9015528
병원,지성한의원,"서울특별시 금천구 금하로 633, 2층 &#40;시흥동&#41;",37.45494381,126.9015528
병원,해득금천한의원,"서울특별시 금천구 금하로 631, 2,3층 (시흥동)",37.45500787,126.9014488
병원,상쾌한윤치과의원,"서울특별시 금천구 시흥대로 238, (시흥동)",37.45509468,126.9007465
병원,한마음외과의원,"서울특별시 금천구 독산로 87, 유명빌딩 (시흥동)",37.45512276,126.9056574
병원,홍범한의원,"서울특별시 금천구 금하로 631-6, 2층 (시흥동)",37.45515114,126.9014598
병원,뉴연세여성의원,"서울특별시 금천구 시흥대로 239, 금화빌딩 1,2,5층 (시흥동)",37.45521294,126.8999472
병원,뉴연세의원,서울특별시 금천구 시흥대로 239 (시흥동),37.45521294,126.8999472
병원,뉴연세여성병원,서울특별시 금천구 시흥대로 239 (시흥동),37.45521294,126.8999472
병원,시흥의원,서울특별시 금천구 시흥대로 240,37.45528368,126.9007011
병원,빈센트의원,"서울특별시 금천구 한내로 62, 3층 3030호 (독산동, 한신코아상가)",37.45539127,126.8888776
병원,희명치과의원,"서울특별시 금천구 시흥대로 242, 반석빌딩 2층 (시흥동)",37.45543001,126.9007125
병원,희명병원,서울특별시 금천구 시흥대로 244 (시흥동),37.45567154,126.9005625
병원,서울특별시어린이병원,서울특별시 서초구 헌릉로 260 (내곡동),37.45571728,127.0688514
병원,연세리엘의원,"서울특별시 금천구 시흥대로73길 67, 엠메디컬타워 3층 309~311호 (시흥동)",37.45594256,126.8957474
병원,금천주내과의원,"서울특별시 금천구 시흥대로73길 67, 엠메디컬타워 3층 303~307호 (시흥동)",37.45594256,126.8957474
병원,마디튼튼재활의학과의원,"서울특별시 금천구 시흥대로73길 67, 엠메디컬타워 2층 201,204,205호 (시흥동)",37.45594256,126.8957474
병원,다스름한의원,"서울특별시 서초구 샘마루길 4, 한울 1층 (내곡동)",37.45645683,127.0705302
병원,도담도담키즈치과의원,"서울특별시 서초구 양재대로2길 116-6, 3층 (우면동)",37.4564802,127.0154514
병원,서동수위드어스정신건강의학과의원,"서울특별시 서초구 헌릉로 176, 서울영동농협종합시설 4층 403~405호 (내곡동)",37.45664805,127.0595223
병원,연세자연애치과의원,"서울특별시 서초구 헌릉로 176, 서울영동농협종합시설 3층 1호 (내곡동)",37.45664805,127.0595223
병원,내곡웰치과의원,"서울특별시 서초구 헌릉로8길 9-8, 402호 (내곡동, 내곡플라자)",37.4566898,127.0599758
병원,닥터나가정의학과의원,"서울특별시 서초구 헌릉로8길 9-8, 4층 401호 (내곡동, 내곡플라자)",37.4566898,127.0599758
병원,서울내곡치과의원,"서울특별시 서초구 헌릉로8길 9-8, 302호 303호 (내곡동, 내곡플라자)",37.4566898,127.0599758
병원,서울소아청소년과의원,"서울특별시 서초구 헌릉로8길 9-8, 404호 (내곡동, 내곡플라자)",37.4566898,127.0599758
병원,이유경한의원,"서울특별시 서초구 헌릉로8길 9-8, 301호 (내곡동, 내곡플라자)",37.4566898,127.0599758
병원,서초하나로치과의원,"서울특별시 서초구 양재대로2길 116-19, 2층 204호 (우면동)",37.45687522,127.0159876
병원,수한의원,서울특별시 금천구 독산로33길 34-7 (시흥동),37.45703361,126.9032993
병원,금천구보건소,"서울특별시 금천구 시흥대로73길 70, (시흥동,금천구보건소)",37.45706565,126.8960369
병원,생명나무한의원,"서울특별시 서초구 중앙로 582, 4층 (우면동, 서초타워)",37.45714408,127.015322
병원,서초힐치과의원,"서울특별시 서초구 중앙로 582, 서초타워 4층 (우면동)",37.45714408,127.015322
병원,연세해맑은소아청소년과의원,"서울특별시 서초구 중앙로 582, 301호 (우면동, 서초타워)",37.45714408,127.015322
병원,우면365의원,"서울특별시 서초구 중앙로 582, 서초타워 302호 (우면동)",37.45714408,127.015322
병원,오세료한의원,서울특별시 금천구 시흥대로 272 (시흥동),37.45792046,126.8997054
병원,사랑가득황치과의원,"서울특별시 금천구 시흥대로 272 (시흥동, 청강빌딩)",37.45792046,126.8997054
병원,유진목내과의원,"서울특별시 금천구 시흥대로 272, (시흥동)",37.45792046,126.8997054
병원,태강한의원,"서울특별시 금천구 시흥대로 272, 2층 (시흥동)",37.45792046,126.8997054
병원,이청민소아청소년과의원,"서울특별시 금천구 시흥대로 274, (독산동)",37.45813236,126.8996813
병원,상봉동틀이치과의원,"서울특별시 금천구 벚꽃로 30, 205동 3층 326호 (독산동, 금천롯데캐슬골드파크2차)",37.45822291,126.8937104
병원,백산정신건강의학과의원,"서울특별시 금천구 시흥대로 278, 1층 102호 (독산동)",37.4585336,126.8994907
병원,성메디칼산부인과의원,"서울특별시 금천구 독산로 125-1, 4층 (시흥동, 성메디칼병원빌딩)",37.45858925,126.904897
병원,서울리솜의원,"서울특별시 금천구 시흥대로79길 15, 리솜메디라이프 2층 201~206호 (시흥동)",37.45889029,126.8976815
병원,리솜한방병원,"서울특별시 금천구 시흥대로79길 15, 리솜메디라이프 4~7층 (시흥동)",37.45889029,126.8976815
병원,편백한의원,"서울특별시 금천구 독산로 131-1, 2층 (시흥동)",37.45906498,126.9048977
병원,온유치과의원,"서울특별시 금천구 독산로 134, 금천빌딩 2,3층 (시흥동)",37.45927583,126.9052529
병원,정경화정신건강의학과의원,"서울특별시 금천구 독산로 134, 금천빌딩 4층 402호 (시흥동)",37.45927583,126.9052529
병원,연세현대치과의원,"서울특별시 금천구 독산로 135, 2층 (시흥동)",37.45938958,126.9048495
병원,서울바른마음치과의원,"서울특별시 금천구 독산로 135-1, 2층 (시흥동, 최이비인후과)",37.45949385,126.9047709
병원,맑은이비인후과의원,"서울특별시 금천구 독산로 136, 301호 (시흥동)",37.45950062,126.9052313
병원,명내과의원,"서울특별시 금천구 독산로 136, 3층 (시흥동)",37.45950062,126.9052313
병원,미소치과의원,"서울특별시 금천구 독산로 136, 2층 (시흥동)",37.45950062,126.9052313
병원,연세조은피부과의원,"서울특별시 금천구 독산로 136, 202호 (시흥동)",37.45950062,126.9052313
병원,연세정형외과의원,서울특별시 금천구 독산로 137 (시흥동),37.45960754,126.9047487
병원,현대경희한의원,"서울특별시 금천구 독산로40길 6, 1층 (시흥동)",37.45965306,126.9054464
병원,김용호소아청소년과의원,서울특별시 금천구 독산로 139 (시흥동),37.45970576,126.9047588
병원,의료법인참예원의료재단서초참요양병원,"서울특별시 서초구 양재대로 54, 지1,2층, 2~9층 (우면동, 서초참병원)",37.45976394,127.0253605
병원,동서한의원,서울특별시 금천구 독산로 140 (시흥동),37.45981869,126.9051311
병원,태인한의원,"서울특별시 금천구 독산로 141, 2층 (시흥동)",37.45988726,126.9046967
병원,글로리이비인후과의원,"서울특별시 금천구 시흥대로 291 304동 252호 (독산동, 금천롯데캐슬골드파크3차)",37.45995605,126.8966992
병원,금천연세로이소아청소년과의원,"서울특별시 금천구 시흥대로 291, 272호 (독산동, 금천롯데캐슬골드파크3차)",37.45995605,126.8966992
