카테고리,기관명,주소,위도,경도
우체국,서울시흥3동우편취급국,서울 금천구 시흥대로 77,37.44107572,126.9029199
우체국,서울시흥동우체국,서울 금천구 시흥대로 217,37.45315271,126.900719
우체국,서울시흥1동우체국,서울특별시 금천구 독산로 123,37.45822583,126.9050709
우체국,서울우면동우체국,서울특별시 서초구 태봉로 58 (우면동),37.46373901,127.0245988
우체국,서울관악삼성동우편취급국,서울특별시 관악구 호암로 526 (신림동),37.46452069,126.9317421
우체국,서울대학교우체국,서울특별시 관악구 관악로 1 (신림동),37.46628727,126.9481564
우체국,제22군사우편출장소,"서울특별시 관악구 과천대로 851, 군악대1층",37.4665469,126.9872769
우체국,서울서초우체국,서울특별시 서초구 동산로 19 (양재동),37.47015713,127.0417698
우체국,서울금천우체국,"서울특별시 금천구 시흥대로 410 (독산동,서울금천우체국)",37.47019149,126.8985251
우체국,서울남현동우편취급국,서울특별시 관악구 남부순환로272길 38 (남현동),37.4748411,126.9782377
우체국,서울위례동우편취급국,"서울특별시 송파구 위례광장로 290, 위례중앙푸르지오 2단지 상가동 제136호 (장지동, 위례중앙푸르지오2단지)",37.47497012,127.1428465
우체국,서울낙성대우편취급국,"서울특별시 관악구 남부순환로244가길 2,102호 (봉천동, 진빌딩)",37.47601646,126.9630057
우체국,서울방배2동우편취급국,서울특별시 서초구 방배천로2길 39-15 (방배동),37.47720022,126.98462
우체국,서울가든파이브우체국,서울특별시 송파구 충민로 66 (문정동),37.47761484,127.1249618
우체국,서울가산디지털우체국,"서울 금천구 가산디지털2로 108, 105호",37.47789556,126.8806648
우체국,서울방배3동우편취급국,"서울특별시 서초구 방배로6길 10-21 102호 (방배동, 평산빌딩)",37.47831415,127.0007047
우체국,서울가산동우체국,서울 금천구 남부순환로 1288,37.47844469,126.8937442
우체국,서울난곡우체국,서울특별시 관악구 난곡로 275 (신림동),37.47854878,126.9149155
우체국,서울청룡동우편취급국,서울특별시 관악구 청룡중앙길 11 1층 (봉천동),37.47864491,126.947376
우체국,서울개포현대우편취급국,서울특별시 강남구 개포로17길 6 (개포동),37.47896264,127.0465259
우체국,서울신림동부우편취급국,서울특별시 관악구 문성로31길 38 (신림동),37.48066748,126.9284834
우체국,서울행운동우체국,서울특별시 관악구 남부순환로 1841 (봉천동),37.48084938,126.9547091
우체국,서울가정행정법원출장소,서울특별시 서초구 강남대로 193 (양재동),37.48124455,127.0361898
우체국,서울구로우체국,서울특별시 구로구 금오로 931 (천왕동),37.4813772,126.8420171
우체국,서울봉천역전우편취급국,"서울특별시 관악구 남부순환로 1722 (봉천동,한국공인중개사협회)",37.48227075,126.9412539
우체국,서울문정건영우편취급국,서울특별시 송파구 새말로 103 (문정동),37.48288805,127.1255881
우체국,서울개포1동우체국,서울특별시 강남구 선릉로 36 (개포동),37.4829977,127.0605013
우체국,서울일원본동우체국,서울특별시 강남구 광평로20길 8 (일원동),37.48309116,127.0865154
우체국,서울방배1동우편취급국,"서울특별시 서초구 방배로13길 18 (방배동,방배아크로타워)",37.48313662,126.995289
우체국,서울구로디지털단지우체국,"서울특별시 구로구 디지털로26길 144 (구로동,구로단지우체국)",37.48329888,126.8984697
우체국,서울사당동우체국,서울특별시 동작구 동작대로 75 (사당동),37.48337906,126.9814111
우체국,서울동부지방법원우체국,"서울특별시 송파구 법원로 101 (문정동, 서울동부지방법원)",37.48349446,127.1197516
우체국,서울사당5동우편취급국,서울특별시 동작구 사당로 204 (사당동),37.48459793,126.9706653
우체국,서울양재동우체국,서울특별시 서초구 남부순환로356길 5 (양재동),37.4847179,127.037764
우체국,서울서초1동우체국,서울특별시 서초구 효령로60길 13 (서초동),37.4849385,127.0187713
우체국,서울관악우체국,서울특별시 관악구 남부순환로 1643 (신림동),37.48501424,126.9331367
우체국,서울관악신사동우편취급국,서울특별시 관악구 조원로 118 (신림동),37.48501945,126.9155289
우체국,서울도곡한신우편취급국,서울특별시 강남구 논현로38길 38- 4    2층 (도곡동),37.48531785,127.0448079
우체국,서울서초2동우편취급국,"서울특별시 서초구 서운로 19, 서초월드오피스텔 B1 (서초동)",37.48578025,127.0292791
우체국,서울은천동우체국,서울특별시 관악구 봉천로27길 58 (봉천동),37.48582895,126.9416713
우체국,서울봉천동우체국,서울특별시 관악구 관악로 249-1 (봉천동),37.48677759,126.9567026
우체국,서울성공회대우편취급국,서울시 구로구 연동로 320,37.4875236,126.8261635
우체국,서울사당우성우편취급국,"서울시 동작구 동작대로29길, 77 (사당2동 120)",37.48864862,126.9778247
우체국,서울수서동우체국,서울특별시 강남구 광평로 303 (수서동),37.48870276,127.1050435
우체국,서울서초3동우체국,서울특별시 서초구 반포대로 99 (서초동),37.48906575,127.0086436
우체국,군인공제회우편취급국,서울특별시 강남구 남부순환로 2806 (도곡동),37.48910918,127.0529141
우체국,서울문정로데오우편취급국,서울특별시 송파구 동남로4길 10 (문정동),37.48912076,127.1238969
우체국,서울거여동우체국,서울특별시 송파구 양산로 3 (거여동),37.48956065,127.1425721
