카테고리,기관명,주소,위도,경도
주차장,공유) 09-50구역,금천구 시흥동 978-9,37.43414883,126.9053916
주차장,공유) 09-13구역,금천구 시흥동 977-1,37.43464356,126.9045821
주차장,시흥3동 공영주차장,금천구 시흥동 942-6,37.44293605,126.9056992
주차장,청계산근린광장,서초구 원지동 361-1,37.4458419,127.0568308
주차장,청계산 청룡주차장,서초구 신원동 224-3,37.44638269,127.0597478
주차장,청계산근린광장,서초구 원지동 355-1,37.446483,127.0561979
주차장,공유) 11-37구역,금천구 시흥동 933-77,37.44753963,126.906423
주차장,공유) 11-19구역,금천구 시흥동 935-69,37.44769629,126.9052626
주차장,공유) 11-88구역,금천구 시흥동 411-7,37.44772383,126.9112556
주차장,공유) 11-33구역,금천구 시흥동 925-33,37.44786188,126.9079732
주차장,공유) 11-36구역,금천구 시흥동 933-36 ,37.44828129,126.9066927
주차장,공유) 11-38구역,금천구 시흥동 933-2,37.44834079,126.9058267
주차장,공유) 11-28구역,금천구 시흥동 704-54,37.44848077,126.9108887
주차장,공유) 11-99구역,금천구 시흥동 933-24,37.44850963,126.9062714
주차장,공유) 11-26구역,금천구 시흥동 926-1 ,37.4489274,126.9087575
주차장,공유) 11-16구역,금천구 시흥동 917-26,37.44955194,126.9089403
주차장,공유) 11-00구역,금천구 시흥동 917-5,37.44991285,126.9087819
주차장,공유) 11-27,금천구 시흥동 271-26,37.4501473,126.9110316
주차장,공유) 12-03구역,금천구 시흥동 1000-116,37.45064041,126.9051104
주차장,시흥1동 공영주차장,금천구 시흥동 555-3,37.45068554,126.8967065
주차장,공유) 11-17구역,금천구 시흥동 921-8,37.4507095,126.9065519
주차장,공유) 08-00구역,금천구 시흥동 243-12,37.45096329,126.913374
주차장,공유) 11-18구역,금천구 시흥동 908-29 ,37.45135669,126.9066587
주차장,공유) 12-37구역,금천구 시흥동 890-15 ,37.45144412,126.9025606
주차장,공유) 12-36구역,금천구 시흥동 897-18,37.45165079,126.9051986
주차장,공유) 11-12구역,금천구 시흥동 828-10,37.45166103,126.909054
주차장,공유) 08-02구역,금천구 시흥동 237-5,37.45186144,126.9146427
주차장,공유) 02-38구역,금천구 독산동 1130-0 ,37.45229251,126.8922875
주차장,공유) 11-09구역,금천구 시흥동 1000-108,37.45238568,126.9105451
주차장,공유) 11-11구역,금천구 시흥동 835-31 ,37.45241076,126.9069734
주차장,공유) 11-13구역,금천구 시흥동 220-4,37.45241666,126.9119651
주차장,공유) 11-07구역,금천구 시흥동 220-14,37.45252867,126.9122261
주차장,공유) 12-34구역,금천구 시흥동 1000-83,37.45301401,126.9039577
주차장,공유) 10-02구역,금천구 시흥동 834-8 ,37.45305426,126.9073062
주차장,공유) 12-31구역,금천구 시흥동 887-14,37.45305511,126.9034185
주차장,공유) 11-02구역,금천구 시흥동 203-9 ,37.45315771,126.9107144
주차장,상인회주차장,금천구 시흥동 886-13,37.45321403,126.9032894
주차장,공유) 02-36구역,금천구 독산동 1127-0,37.45325737,126.8899984
주차장,공유) 10-01구역,금천구 시흥동 1000-86,37.45335904,126.9069248
주차장,공유) 11-02구역,금천구 시흥동 218-49,37.45335909,126.9118023
주차장,공유) 11-55구역,금천구 시흥동 211-12,37.45366871,126.911122
주차장,공유) 12-26구역,금천구 시흥동 840-62 ,37.45379221,126.9056264
주차장,공유) 11-08구역,금천구 시흥동 208-3,37.4538469,126.9098975
주차장,공유) 10-05구역,금천구 시흥동 173-11,37.4540998,126.9090466
주차장,공유) 02-33구역,금천구 독산동 1126-1,37.45424738,126.8907468
주차장,공유) 10-05구역,금천구 시흥동 171-3 ,37.45433636,126.9092282
주차장,공유) 02-35구역,금천구 독산동 1099-0,37.45450736,126.8913712
주차장,시흥 4동 공영주차장,금천구 시흥동 171-1,37.45458174,126.9090348
주차장,공유) 10-06구역,금천구 시흥동 169-27,37.45545347,126.9086915
주차장,공유) 12-20구역,금천구 시흥동 880-30 ,37.45575441,126.9025955
주차장,공유) 12-25구역,금천구 시흥동 877-21,37.45578721,126.9035943
주차장,공유) 12-24구역,금천구 시흥동 843-16,37.45595665,126.9048684
주차장,공유) 12-23구역,금천구 시흥동 844-30,37.45598826,126.9046251
주차장,공유) 10-11구역,금천구 시흥동 815-38,37.45643682,126.9065953
주차장,공유) 10-09구역,금천구 시흥동 815-40 ,37.45644387,126.9067325
주차장,공유) 10-12구역,금천구 시흥동 815-40,37.45644387,126.9067325
주차장,공유) 12-22구역,금천구 시흥동 846-43,37.45652792,126.9039003
주차장,공유) 12-15구역,금천구 시흥동 873-23,37.45663107,126.9017001
주차장,공유) 12-21구역,금천구 시흥동 874-23,37.45680468,126.9033181
주차장,공유) 10-16구역,금천구 시흥동 1000-34 ,37.4574024,126.9062088
주차장,공유) 12-16구역,금천구 시흥동 872-8 ,37.4574063,126.9019144
주차장,공유) 10-14구역,금천구 시흥동 809-3,37.45766509,126.907183
주차장,공유) 12-13구역,금천구 시흥동 852-48 ,37.45814329,126.9045082
주차장,공유) 10-13구역,금천구 시흥동 808-2,37.45823644,126.907775
주차장,공유) 10-15구역,금천구 시흥동 1000-25,37.45875539,126.9072676
주차장,공유) 10-00구역,금천구 시흥동 812-4,37.45887703,126.9067003
주차장,공유) 12-10구역,금천구 시흥동 866-11 ,37.45890571,126.9020586
주차장,공유) 03-01구역,금천구 시흥동 1076-26 ,37.458916,126.900406
주차장,공유) 10-17구역,금천구 시흥동 812-40,37.45925644,126.9064646
주차장,공유) 12-07구역,금천구 시흥동 1000-21,37.45932669,126.903632
주차장,공유) 03-02구역,금천구 독산동 1076-26 ,37.45939238,126.9003793
주차장,시흥 4동 공영주차장,금천구 시흥동 704-56,37.4594178,126.9088708
주차장,공유) 12-09구역,금천구 시흥동 865-9,37.45958863,126.9027631
주차장,공유) 12-18구역,금천구 독산동 1082-57 ,37.46006149,126.9019018
주차장,공유) 03-03구역,금천구 독산동 1082-57,37.46006149,126.9019018
주차장,공유) 10-18구역,금천구 시흥동 1000-18,37.46010368,126.906259
주차장,공유) 10-19구역,금천구 시흥동 1000-17,37.46011041,126.9057756
주차장,공유) 10-24구역,금천구 시흥동 1016-0,37.46034975,126.90787
주차장,공유) 10-25구역,금천구 시흥동 798-45,37.46054063,126.9075815
주차장,효봉공영주차장,금천구 시흥동 3-129,37.46079059,126.9109016
주차장,공유) 10-29구역,금천구 시흥동 4-9,37.46095255,126.9095355
주차장,공유) 12-02구역,금천구 시흥동 861-41,37.46112283,126.90316
주차장,공유) 10-30구역,금천구 시흥동 4-5,37.46113759,126.9103336
주차장,공유) 12-04구역,금천구 시흥동 1000-6 ,37.46117807,126.9039368
주차장,공유) 12-01구역,금천구 시흥동 1000-6,37.46117807,126.9039368
주차장,공유) 10-26구역,금천구 시흥동 799-32,37.46127923,126.9070589
주차장,공유) 10-34구역,금천구 시흥동 3-55 ,37.4613672,126.9125313
주차장,공유) 10-22구역,금천구 시흥동 1000-10 ,37.46145389,126.9072293
주차장,공유) 03-06구역,금천구 독산동 1082-62 ,37.46146558,126.9004477
주차장,공유) 10-28구역,금천구 시흥동 796-7,37.46186841,126.9097511
주차장,공유) 03-08구역,금천구 독산동 1072-55,37.46225149,126.9012553
주차장,공유) 03-17구역,금천구 독산동 1045-35,37.46227498,126.9036239
주차장,공유) 10-21구역,금천구 시흥동 1000-2,37.46243271,126.9051413
주차장,공유) 03-16구역,금천구 독산동 1082-47 ,37.46288164,126.9018868
주차장,남부여성발전센터 공영주차장,금천구 시흥동 139-2,37.462917,126.905718
주차장,공유) 03-10구역,금천구 독산동 1058-7,37.46329113,126.8999302
주차장,공유) 03-25구역,금천구 독산동 378-430,37.46333089,126.9047534
주차장,공유) 03-14구역,금천구 독산동 1062-3 ,37.46344367,126.9009935
주차장,공유) 03-12구역,금천구 독산동 1082-42,37.46370792,126.8987433
주차장,공유) 03-13구역,금천구 독산동 1049-7 ,37.46374121,126.9006003
주차장,독산2동 공영주차장,금천구 독산동 1050-17,37.46385535,126.9000396
주차장,공유) 03-15구역,금천구 독산동 1082-44 ,37.46421525,126.9020207
주차장,삼성동제1공영,관악구 신림동 322-2,37.46435288,126.9299773
주차장,공유) 03-32구역,금천구 독산동 378-422 ,37.46435765,126.906296
주차장,대왕초 공영주차장,강남구 세곡동 517-0,37.46442877,127.105538
주차장,공유) 03-19구역,금천구 가산동 1037-34,37.464527,126.90091
주차장,독산1동공영주차장,금천구 독산동 1006-94,37.46494266,126.8948152
주차장,삼환아파트,금천구 독산동 1004-6,37.46510017,126.8917457
주차장,공유) 03-27구역,금천구 독산동 380-18,37.46519768,126.905192
주차장,공유) 03-26구역,금천구 독산동 378-194,37.46523599,126.9054274
주차장,공유) 03-24구역,금천구 독산동 378-194 ,37.46523599,126.9054274
주차장,공유) 03-22구역,금천구 독산동 1031-13,37.46547003,126.8983272
주차장,공유) 03-35구역,금천구 독산동 1040-58,37.46569623,126.9034265
주차장,공유) 03-21구역,금천구 독산동 1082-40,37.4658986,126.9001873
주차장,가산동 금천교 공영주차장,금천구 가산동 691-3,37.46620659,126.8870944
주차장,공유) 05-20구역,금천구 독산동 1082-34,37.4664866,126.9039871
주차장,공유) 03-28구역,금천구 독산동 1040-0 ,37.46661742,126.9037652
주차장,독산동 금천교 공영주차장,금천구 독산동 1081-4,37.46680306,126.8894831
주차장,공유) 03-33구역,금천구 독산동 377-9,37.4670206,126.9057419
주차장,공유) 05-10구역,금천구 독산동 1082-29,37.46704286,126.9001518
주차장,공유) 05-30구역,금천구 독산동 375-3,37.46709405,126.9081648
주차장,공유) 03-23구역,금천구 독산동 376-11,37.46712084,126.9062514
주차장,공유) 03-29구역,금천구 독산동 376-11 ,37.46712084,126.9062514
주차장,공유) 05-21구역,금천구 독산동 945-4,37.46720442,126.9048654
주차장,범일운수~신세계물류센터,금천구 독산동 1001-2,37.46750883,126.8898765
주차장,공유) 05-08구역,금천구 독산동 1082-21,37.46779186,126.9015412
주차장,공유) 05-12구역,금천구 독산동 1022-47 ,37.46781371,126.9034458
주차장,공유) 05-23구역,금천구 독산동 924-4,37.46784924,126.9049367
주차장,공유) 05-09구역,금천구 독산동 1082-24,37.46788083,126.9001846
주차장,삼성동제1공영,관악구 신림동 808-499,37.46791386,126.9307427
주차장,공유) 05-22구역,금천구 독산동 940-11,37.46792234,126.9063264
주차장,공유) 05-01구역,금천구 독산동 1082-25 ,37.46814927,126.8987423
주차장,공유) 05-13구역,금천구 독산동 1021-17,37.4684153,126.9043236
주차장,가산중뒤,금천구 독산동 300-21,37.46846211,126.8944319
주차장,삼성동제1공영,관악구 신림동 808-498,37.4686768,126.9309993
주차장,공유) 05-25구역,금천구 독산동 919-7,37.46876315,126.9060752
주차장,헌릉로745길,강남구 율현동 113-5,37.46893429,127.1199607
주차장,가산중앞,금천구 독산동 300-26,37.46917549,126.8947816
주차장,헌릉로745길,강남구 율현동 101-10,37.4693905,127.1181484
주차장,독산4동 공영주차장,금천구 독산동 187-40,37.46943314,126.904505
주차장,공유) 05-07구역,금천구 독산동 195-10,37.4694679,126.9019459
주차장,공유) 02-12구역,금천구 독산동 300-22 ,37.46977014,126.8936655
주차장,공유) 05-03구역,금천구 독산동 284-13,37.4700021,126.8990506
주차장,공유) 05-00구역,금천구 독산동 197-6,37.4700058,126.9011826
주차장,원신공영주차장,관악구 신림동 366-0,37.47001309,126.9293131
주차장,동산마을 공영주차장,서초구 양재동 370-5,37.47009089,127.0443089
주차장,복정역 공영주차장,송파구 장지동 600-2,37.470149,127.1277363
주차장,양재시민의숲역 공영주차장,서초구 양재동 237-2,37.47015734,127.0385197
주차장,공유) 05-15구역,금천구 독산동 189-36,37.47023379,126.9040656
주차장,공유) 05-27구역,금천구 독산동 189-36 ,37.47023379,126.9040656
주차장,공유) 05-26구역,금천구 독산동 182-9,37.47041054,126.9052687
주차장,아톰,금천구 가산동 345-48,37.47044741,126.8827864
주차장,공유) 02-08구역,금천구 독산동 289-16 ,37.47050904,126.8969932
주차장,공유) 05-04구역,금천구 독산동 201-23 ,37.47064036,126.8991301
주차장,양재2동주민센터 공영주차장,서초구 양재동 323-1,37.47065052,127.0412757
주차장,공유) 05-99구역,금천구 독산동 198-2,37.47067295,126.9004824
주차장,헌릉로745길,강남구 율현동 98-5,37.47104575,127.1187754
주차장,공유) 02-09구역,금천구 독산동 301-10 ,37.47125046,126.8935137
주차장,세일철강~LG전자연구소,금천구 가산동 319-15,37.47133497,126.8848637
주차장,사조냉장-무등실업,금천구 독산동 303-2,37.4713975,126.8913303
주차장,구룡공원 공영주차장,서초구 양재동 399-0,37.47154446,127.0487307
주차장,양재근린공원 공영주차장,서초구 양재동 311-0,37.47166296,127.0423575
주차장,서부간선도로,금천구 가산동 557-4,37.47172391,126.8814666
주차장,공유) 02-10구역,금천구 독산동 336-27 ,37.47199703,126.8874809
주차장,공유) 04-25구역,금천구 독산동 997-31 ,37.47218237,126.9047008
주차장,공유) 04-23구역,금천구 독산동 997-31,37.47218237,126.9047008
주차장,난곡동제1공영주차장,관악구 신림동 626-82,37.47224069,126.923162
주차장,언남문화체육센터 공영주차장,서초구 양재동 310-4,37.47228054,127.0432777
주차장,시민의숲 동측 공영주차장[양재시민의숲역 4호점],서초구 양재동 237-0,37.47254682,127.0382402
주차장,신천지,금천구 독산동 152-1,37.47262285,126.8976694
주차장,공유) 04-24구역,금천구 독산동 993-14,37.4728463,126.9044402
주차장,공유) 02-06구역,금천구 독산동 152-13 ,37.47286079,126.8971257
주차장,언남문화체육센터 공영주차장,서초구 양재동 309-0,37.47290949,127.0431574
주차장,덕성엔앰피,금천구 가산동 345-15,37.47302611,126.8837938
주차장,두산공원A~B,금천구 독산동 298-1,37.47308694,126.894168
주차장,국도화학,금천구 가산동 345-26,37.47335543,126.8826968
주차장,밤고개로21길 공영주차장,강남구 율현동 77-5,37.4733792,127.1145603
주차장,공유) 04-00구역,금천구 독산동 992-27,37.47345742,126.9047357
주차장,공유) 06-06구역,금천구 독산동 987-7,37.47351559,126.8997904
주차장,두산공원A~B,금천구 가산동 153-18,37.47362206,126.8919809
주차장,공유) 04-19구역,금천구 독산동 997-22,37.47362651,126.9040258
주차장,요업기술원-LG전자뒤,금천구 가산동 237-101,37.4737116,126.8894309
주차장,공유) 06-05구역,금천구 독산동 985-21,37.47376384,126.9023963
주차장,공유) 02-07구역,금천구 독산동 150-20 ,37.47380783,126.8975268
주차장,기륭전자,금천구 가산동 219-7,37.47406777,126.8878064
주차장,공유) 06-00구역,금천구 독산동 982-6,37.47407121,126.898902
주차장,구룡공영주차빌딩,서초구 양재동 301-6,37.47419274,127.0459417
주차장,공유) 06-09구역,금천구 독산동 979-30,37.47442633,126.9024768
주차장,LG텔레콤,금천구 가산동 60-36,37.47466658,126.8872354
주차장,웅진코웨이~sk트윈타워,금천구 가산동 345-2,37.4747142,126.8848549
주차장,낙성대제2공영,관악구 봉천동 220-8,37.47480251,126.9598846
주차장,공유) 06-01구역,금천구 독산동 997-17,37.47501001,126.9028206
주차장,공유) 02-05구역,금천구 독산동 147-39 ,37.47511515,126.8953208
주차장,공유) 02-03구역,금천구 독산동 144-82,37.47512124,126.8975349
주차장,공유) 04-18구역,금천구 독산동 234-54 ,37.47534044,126.9043946
주차장,공유) 06-20구역,금천구 독산동 973-24 ,37.47539529,126.9028284
주차장,사당노외 공영주차장,서초구 방배동 507-1,37.47539826,126.983669
주차장,포이초교 공영주차장,강남구 개포동 1273-0,37.47559999,127.0523237
주차장,공유) 06-13구역,금천구 독산동 972-2,37.47580853,126.9018902
주차장,공유) 04-17구역,금천구 독산동 887-21 ,37.47596981,126.90543
주차장,공유) 06-29구역,금천구 독산동 997-11,37.47631565,126.8995644
주차장,공유) 06-16구역,금천구 독산동 997-11 ,37.47631565,126.8995644
주차장,다목적 공영주차장,금천구 독산동 971-0,37.4763669,126.9019022
주차장,공유) 06-19구역,금천구 독산동 971-51 ,37.47643118,126.902717
주차장,20-22,송파구 장지동 770-0,37.47654371,127.1189517
주차장,가산동 공영주차장,금천구 가산동 148-28,37.47662324,126.8955989
주차장,공유) 04-10구역,금천구 독산동 961-13 ,37.47676506,126.904108
주차장,공유) 04-13구역,금천구 독산동 885-7,37.47702272,126.9048492
주차장,공유) 04-11구역,금천구 독산동 885-5,37.4770796,126.9045496
주차장,공유) 04-12구역,금천구 독산동 883-17 ,37.47716571,126.906095
주차장,구룡산제2호,강남구 개포동 126-2,37.47726326,127.066477
주차장,공유) 04-14구역,금천구 독산동 906-16,37.47733481,126.9101257
주차장,한누리,동작구 사당동 1046-1,37.47739102,126.977131
주차장,공유) 04-04구역,금천구 독산동 906-51,37.47761921,126.9098151
주차장,공유) 06-27구역,금천구 독산동 957-1 ,37.47761924,126.901294
주차장,공유) 06-28구역,금천구 독산동 955-1 ,37.47764781,126.9009793
주차장,공유) 01-63구역,금천구 가산동 147-48,37.47765434,126.8955845
주차장,공유) 04-08구역,금천구 독산동 884-2,37.47778775,126.905166
