카테고리,기관명,주소,위도,경도
전기차 충전소,이마트 양재점,"서울특별시 서초구 매헌로 16, 지하주차장 2층 Z구역
(서울특별시 서초구 양재동 215, 지하주차장 2층 Z구역)",37.46246735,127.0369479
전기차 충전소,독산1동 공영주차장,"서울특별시 금천구 범안로12가길 65, 독산1동 공영주차장 옥상
(서울특별시 금천구 독산동 1006-94, 독산1동 공영주차장 옥상)",37.46494122,126.8948157
전기차 충전소,제일모직아울렛 건너편(공중전화부스),서울특별시 금천구 가산동 239-27,37.474417,126.8867632
전기차 충전소,사당역 공영주차장,"서울특별시 서초구 과천대로 950-18, 지상주차장 북주차장(우측)
(서울특별시 서초구 방배동 507-1, 지상주차장 북주차장(우측))",37.4752427,126.9839861
전기차 충전소,조원동 제1공영주차장,서울특별시 관악구 신림동 571-6,37.48105867,126.9057171
전기차 충전소,수서역 공영주차장,"서울특별시 강남구 수서동 735, 지상주차장 북주차장(우측)",37.48792882,127.0999263
전기차 충전소,개포동공원 공영주차장,"서울특별시 강남구 개포로 509, 지하주차장 1층 8구역
(서울특별시 강남구 개포동 183-2, 지하주차장 1층 8구역)",37.48970713,127.068291
전기차 충전소,구로리공원 앞(공중전화부스),서울특별시 구로구 구로동 136-14,37.49183884,126.8917009
전기차 충전소,학여울역 공영주차장,"서울특별시 강남구 남부순환로 3104, 지하주차장 3층 M418구역
(서울특별시 강남구 대치동 514, 지하주차장 3층 M418구역)",37.49567866,127.071912
전기차 충전소,동작주차공원 공영주차장,"서울특별시 동작구 현충로 213, 출입구 왼쪽
(서울특별시 동작구 동작동 326, 출입구 왼쪽)",37.50364325,126.9786893
전기차 충전소,영등포구 대신시장(공중전화부스),서울특별시 영등포구 신길1동 116-15,37.51107647,126.9175847
전기차 충전소,롯데마트 잠실점,"서울특별시 송파구 올림픽로 240, 지하주차장 1층 M148구역
(서울특별시 송파구 잠실동 40-1, 지하주차장 1층 M148구역)",37.51130961,127.0981418
전기차 충전소,GS칼텍스 삼성로점,"서울특별시 강남구 삼성로 563, GS칼텍스 주유소 입구 우측
(서울특별시 강남구 삼성2동 119-18, GS칼텍스 주유소 입구 우측)",37.51188486,127.053593
전기차 충전소,현대차 남부서비스센터,"서울특별시 동작구 노량진로 53, 현대자동차 남부서비스센터 본관 후문 주차장
(서울특별시 동작구 대방동 70-1, 현대자동차 남부서비스센터 본관 후문 주차장)",37.51394028,126.9343584
전기차 충전소,해맞이공영주차장,서울특별시 양천구 지양로 47,37.51985566,126.8350649
전기차 충전소,영등포구청 환승공영주차장,"서울특별시 영등포구 양산로111, 왼쪽 끝편 주차장
(서울특별시 영등포구 당산동3가 370-4)",37.52472308,126.895522
전기차 충전소,홈플러스 목동점,"서울특별시 양천구 목동서로 170, 지상주차장 2층 01구역
(서울특별시 양천구 목동 919-7, 지상주차장 2층 01구역)",37.53024475,126.8733001
전기차 충전소,기아차 성동서비스센터,"서울특별시 성동구 성수이로26길 61, 지상주차장 입구 좌측 경비실 옆
(서울특별시 성동구 성수동2가 279-29, 지상주차장 입구 좌측 경비실 옆)",37.54494633,127.0642049
전기차 충전소,메이필드호텔,"서울특별시 강서구 방화대로 94, 호텔 정면 주차장
(서울특별시 강서구 외발산동 426, 호텔 정면 주차장)",37.54789572,126.8195071
전기차 충전소,이마트 명일점,"서울특별시 강동구 고덕로 276, 지하주차장 1층 E구역
(서울특별시 강동구 명일동 46-4, 지하주차장 1층 E구역)",37.55470672,127.1556131
전기차 충전소,그랜드앰배서더 서울,"서울특별시 중구 동호로 287, 대형버스주차장
(서울특별시 중구 장충동2가 186-54, 대형버스주차장)",37.56059897,127.002136
전기차 충전소,롯데마트 김포공항점,"서울특별시 강서구 하늘길 77, 지하주차장 1층 A-18구역
(서울특별시 강서구 방화동 886, 지하주차장 1층 A-18구역)",37.56231321,126.8012784
전기차 충전소,홈플러스 가양점,"서울특별시 강서구 양천로 431, 지하주차장 1층
(서울특별시 강서구 가양동 18-24, 지하주차장 1층)",37.56426405,126.8499602
전기차 충전소,마장동사무소 앞(공중전화부스),서울특별시 성동구 마장동 808,37.56581702,127.0461132
전기차 충전소,노을공원,"서울특별시 마포구 상암동 482-116, 주차장 입구 정면",37.56726718,126.8790319
전기차 충전소,종묘 공영주차장,"서울특별시 종로구 종로 157, 지하주차장 4층 하층 T구역
(서울특별시 종로구 훈정동 1-2, 지하주차장 4층 하층 T구역)",37.5731338,126.9948635
전기차 충전소,세종로 공영주차장,"서울특별시 종로구 세종대로 189, 지하주차장 4층 D구역 계단실 앞
(서울특별시 종로구 세종로 80-1, 지하주차장 4층 D구역 계단실 앞)",37.57343041,126.9759604
