카테고리,기관명,주소,위도,경도
셀프 빨래방,런드리힐 셀프빨래방,서울 서초구 양재대로2길 8 글로벌오피스텔 106호,37.45972494,127.0244643
셀프 빨래방,런드리힐 셀프빨래방,서울 서초구 양재대로2길 8 글로벌오피스텔 106호,37.45972494,127.0244643
셀프 빨래방,코인워시24셀프빨래방,서울 서초구 태봉로2길 30 서초네이처힐6단지 상가동 1층 103호,37.46115288,127.0256508
셀프 빨래방,코인워시24셀프빨래방,서울 서초구 태봉로2길 30 서초네이처힐6단지 상가동 1층 103호,37.46115288,127.0256508
셀프 빨래방,워시프렌즈 서초우면점,서울 서초구 바우뫼로2길 67 1층,37.4685941,127.0275071
셀프 빨래방,워시프렌즈 서초우면점,서울 서초구 바우뫼로2길 67 1층,37.4685941,127.0275071
셀프 빨래방,버블맨24셀프빨래방,서울 송파구 새말로 62,37.48079176,127.1208423
셀프 빨래방,프레시런드리 24 셀프빨래방,서울 송파구 새말로 62 송파푸르지오시티 상가 지하15호,37.48079176,127.1208423
셀프 빨래방,버블맨24셀프빨래방,서울 송파구 새말로 62,37.48079176,127.1208423
셀프 빨래방,프레시런드리 24 셀프빨래방,서울 송파구 새말로 62 송파푸르지오시티 상가 지하15호,37.48079176,127.1208423
셀프 빨래방,이지워시 셀프빨래방 문정점,서울 송파구 법원로4길 6 문정아이파크 지하 1층,37.48226893,127.1221036
셀프 빨래방,이지워시 셀프빨래방 문정점,서울 송파구 법원로4길 6 문정아이파크 지하 1층,37.48226893,127.1221036
셀프 빨래방,워시프렌즈 송파구문정동점,서울 송파구 법원로4길 10 힐스테이트에코문정 106호,37.48261579,127.1228264
셀프 빨래방,워시프렌즈 송파구문정동점,서울 송파구 법원로4길 10 힐스테이트에코문정 106호,37.48261579,127.1228264
셀프 빨래방,화이트24셀프빨래방 문정점,서울 송파구 법원로4길 5 송파법조타운 푸르지오시티 135호,37.48291393,127.1218733
셀프 빨래방,화이트24셀프빨래방 문정점,서울 송파구 법원로4길 5 송파법조타운 푸르지오시티 135호,37.48291393,127.1218733
셀프 빨래방,에코런드렛빨래방&amp;아이스크림 방배점,서울 서초구 방배로19길 64 1층,37.4842598,126.9916402
셀프 빨래방,에코런드렛빨래방&amp;아이스크림 방배점,서울 서초구 방배로19길 64 1층,37.4842598,126.9916402
셀프 빨래방,셀빨래방 방배점,서울 서초구 방배로18길 13-14,37.48554686,126.9966041
셀프 빨래방,셀빨래방 방배점,서울 서초구 방배로18길 13-14,37.48554686,126.9966041
셀프 빨래방,문정동빨래방,서울 송파구 문정로1길 15 101호 (1층),37.48755864,127.1241944
셀프 빨래방,문정동빨래방,서울 송파구 문정로1길 15 101호 (1층),37.48755864,127.1241944
셀프 빨래방,다온런드리셀프빨래방24,서울 서초구 효령로 423 지하1층,37.48931339,127.029944
셀프 빨래방,다온런드리셀프빨래방24,서울 서초구 효령로 423 지하1층,37.48931339,127.029944
셀프 빨래방,워시엔조이 셀프빨래방 서초사랑점,서울 서초구 반포대로27길 13 1층 106호,37.48969311,127.0076047
셀프 빨래방,워시엔조이 셀프빨래방 서초사랑점,서울 서초구 반포대로27길 13 1층 106호,37.48969311,127.0076047
셀프 빨래방,워시프렌즈 셀프빨래방 서초1동점,서울 서초구 사임당로 105,37.49054551,127.0212392
셀프 빨래방,워시프렌즈 셀프빨래방 서초1동점,서울 서초구 사임당로 105,37.49054551,127.0212392
셀프 빨래방,셀프빨래터 방배점,서울 서초구 동광로 31,37.49133537,126.9863353
셀프 빨래방,셀프빨래터 방배점,서울 서초구 동광로 31,37.49133537,126.9863353
셀프 빨래방,워시엔조이 방배점,서울 서초구 서초대로23길 114 삼광 빌리지 1층 101호,37.49218782,126.9900273
셀프 빨래방,워시엔조이 방배점,서울 서초구 서초대로23길 114 삼광 빌리지 1층 101호,37.49218782,126.9900273
셀프 빨래방,워시피플 셀프빨래방 서초구 서초우면양재점,서울 서초구 법원로3길 24,37.49317052,127.008038
셀프 빨래방,워시피플 셀프빨래방 서초구 서초우면양재점,서울 서초구 법원로3길 24,37.49317052,127.008038
셀프 빨래방,크린토피아 코인워시 서울교대점,서울 서초구 서초대로60길 34 문화빌딩 1층,37.49350935,127.0186785
셀프 빨래방,크린토피아 코인워시 서울교대점,서울 서초구 서초대로60길 34 문화빌딩 1층,37.49350935,127.0186785
셀프 빨래방,화이트365 방배점,서울 서초구 동광로11길 59 1층,37.49384916,126.9854329
셀프 빨래방,화이트365 방배점,서울 서초구 동광로11길 59 1층,37.49384916,126.9854329
셀프 빨래방,위니아24크린샵 방배2호점,서울 서초구 방배중앙로25길 38,37.49402683,126.9839603
셀프 빨래방,위니아24크린샵 방배2호점,서울 서초구 방배중앙로25길 38,37.49402683,126.9839603
셀프 빨래방,셀프24시빨래방,서울 송파구 중대로16길 15 가락풍림아파트상가 1층 103호,37.49563871,127.126046
셀프 빨래방,셀프24시빨래방,서울 송파구 중대로16길 15 가락풍림아파트상가 1층 103호,37.49563871,127.126046
셀프 빨래방,런드리24 펭귄랜덤하우스코리아,서울 서초구 강남대로 373 홍우빌딩 102 15층,37.49598293,127.0280101
셀프 빨래방,런드리24 펭귄랜덤하우스코리아,서울 서초구 강남대로 373 홍우빌딩 102 15층,37.49598293,127.0280101
셀프 빨래방,에코런드렛 셀프빨래방&amp;아이스크림,서울 송파구 송파대로30길 39,37.4961402,127.1211482
셀프 빨래방,에코런드렛 셀프빨래방&amp;아이스크림,서울 송파구 송파대로30길 39,37.4961402,127.1211482
셀프 빨래방,이지셀프빨래방,서울 영등포구 대방천로 241-1 1층,37.49878935,126.917808
