카테고리,기관명,주소,위도,경도
공연장,옛 국립극단 백성희장민호극장,서울특별시 용산구 청파로 373,37.55314654,126.9682794
공연장,브람스앤리스트,서울 서초구 반포대로 10 지하1층,37.48165015,127.0129848
공연장,공간222,서울특별시 성북구 동소문로 24 지하,37.58938075,127.0087818
공연장,소태산홀,서울특별시 동작구 현충로 75,37.50975909,126.9638593
공연장,서울아트센터 도암,서울특별시 종로구 평창문화로 70,37.56446452,126.9502888
공연장,세종대학교 대양홀,서울특별시 광진구 능동로 209,37.55160931,127.0731836
공연장,극단 대학로극장,서울특별시 도봉구 도봉로115길 9,37.64856049,127.0338822
공연장,노원어린이극장,서울특별시 노원구 노해로 502 B1,37.65445005,127.0636923
공연장,금호아트홀 연세,서울 서대문구 연세로 50 연세대학교 백양누리 지하 1층 금호아트홀 연세,37.56605084,126.9439162
공연장,국립국악원,서울특별시 서초구 남부순환로 2364,37.47771881,127.0098185
공연장,미마지아트센터 물빛극장,서울특별시 종로구 대학로8가길 129,37.58030622,127.0035291
공연장,북촌창우극장,서울 종로구 창덕궁길 29-6 B1 북촌창우극장,37.5789075,126.9888599
공연장,한바탕소극장,서울특별시 송파구 송이로32길 19 지하 1층,37.48823511,127.1277497
공연장,로데아트센터,서울 서초구 남부순환로317길 79 로데아트센터,37.48313365,127.0103014
공연장,극장PLOT,서울 서대문구 연세로4길 27 B1,37.55760078,126.9381984
공연장,엠스테이지,서울 종로구 인사동길 34-1 지하2층 엠스테이지,37.57359319,126.9857173
공연장,백암아트홀,서울 강남구 테헤란로113길 7 백암아트센터,37.5103944,127.066052
공연장,해누리타운 해누리홀?아트홀,서울특별시 양천구 목동동로 81,37.51597606,126.8638545
공연장,광림아트센터 장천홀,서울특별시 강남구 압구정로22길 21,37.52426211,127.0265428
공연장,동국대학교서울캠퍼스 이해랑예술극장,서울특별시 중구 필동로1길 30,37.55893664,126.9987376
공연장,강동어린이회관아이누리홀,서울특별시 강동구 성내로6길 16 (성내동),37.529163,127.122469
공연장,롯데콘서트홀,서울특별시 송파구 올림픽로 300 롯데월드몰 8층,37.51375196,127.1044469
공연장,예술공간혜화,서울특별시 종로구 혜화로 10-3,37.58662729,127.000476
공연장,서리풀 아트홀,서울 서초구 반포대로9길 30 지하 1층,37.48312341,127.0099787
공연장,명동난타극장,서울특별시 중구 명동길 26,37.56345745,126.9837648
공연장,코엑스 오디토리움,서울특별시 강남구 영동대로 513 3F,37.511895260092864,127.05936167577896
공연장,두산아트센터 스페이스111,서울특별시 종로구 종로33길 15,37.57181233,127.0010001
공연장,홍대 롤링홀,"서울특별시 마포구 어울마당로 35 지하 1층, 2층",37.54849752,126.920121
공연장,혜화동1번지,종로구 혜화동 88-1번지,37.5864,127.001344
공연장,민송아트홀,서울시 종로구 대학로 144 중원빌딩 6층,37.58396564,127.0021671
공연장,미마지아트센터 눈빛극장,서울특별시 종로구 혜화로 17,37.58710995,126.9997845
공연장,상명아트센터,서울특별시 종로구 홍지문2길 20,37.60410891,126.9551595
공연장,샤롯데씨어터,서울특별시 송파구 올림픽로 240,37.51130961,127.0981418
공연장,구로 꿈나무극장,서울특별시 구로구 구로동로26길 54,37.489562316814336,126.88629292183346
공연장,석촌호수 아뜰리에,서울특별시 송파구 석촌호수로 191,37.50677711,127.0982436
공연장,씨스퀘어,서울 강남구 영동대로 326 컬쳐랜드타워 1층 C SQUARE,37.5038048,127.066592
공연장,연우소극장,서울특별시 종로구 창경궁로35길 21,37.58698605,127.0017643
공연장,시온아트홀,서울 종로구 대학로8가길 52 3층,37.58298283,127.0026493
공연장,선릉아트홀,서울 강남구 테헤란로 337 화남빌딩 B1,37.50479491,127.0484575
공연장,서울돈화문국악당,서울  종로구 와룡동 12-2,37.57725028,126.9907307
공연장,드림시어터 소극장,서울 종로구 대학로10길 15-11 지하1층,37.58226095,127.0027716
공연장,온쉼표,서울 송파구 송파대로37길 50 4층,37.50024473,127.1066645
공연장,아르코꿈밭극장,서울 종로구 대학로12길 46 삼광빌딩,37.58205712,127.0037164
공연장,대원 콘텐츠 라이브,서울특별시 용산구 한강대로23길 55 현대아이파크몰 리빙파크 6층 1-1 팝콘D스퀘어,37.5297718,126.9647415
공연장,두산아트센터 연강홀,서울특별시 종로구 종로33길 15,37.57181233,127.0010001
공연장,천장산우화극장,"서울 성북구 화랑로 18자길 13, 성북정보도서관 지하 1층",37.60497289,127.0505855
공연장,서울마포음악창작소,서울특별시 마포구 마포대로 지하 238,37.55507049,126.9575347
공연장,거암아트홀,서울특별시 강남구 강남대로 652 SINSA SQUARE 4층 거암아트홀,37.51951013,127.019106
공연장,서울남산국악당,서울특별시 중구 퇴계로34길 28 서울남산국악당,37.55834995,126.9940216
공연장,북서울꿈의숲아트센터 퍼포먼스홀,서울특별시 강북구 월계로 173,37.62025446,127.0443247
공연장,예스24아트원,서울 종로구 대학로12길 83 대학로 아트원씨어터,37.58026828,127.0040068
공연장,명보아트홀,서울특별시 중구 마른내로 47,37.56470562,126.9932142
공연장,한국문화의집 KOUS,서울특별시 강남구 테헤란로92길 12-9,37.50682781,127.0604655
공연장,JCC 아트센터,서울특별시 종로구 창경궁로35길 29,37.58718318,127.0018857
공연장,공간아울,서울특별시 종로구 대학로 120 (동숭동) 지하 1층,37.58187588,127.0022927
공연장,성균소극장,서울특별시 종로구 성균관로 12-3,37.5841854,126.9979468
공연장,CKL스테이지,서울특별시 중구 청계천로 40 CKL기업지원센터 지하 1층 (한국관광공사 건물),37.56852858,126.9816273
공연장,예스24 라이브홀,서울특별시 광진구 구천면로 20,37.54572677,127.1079679
공연장,대학로극장 쿼드,서울 종로구 동숭길 122 서울문화재단 대학로센터 B2,37.583699,127.0037167
공연장,해바라기 소극장,서울특별시 종로구 동숭길 76,37.58164282,127.0043741
공연장,국립극단 명동예술극장,서울특별시 중구 명동길 35,37.56404145,126.984202
공연장,영산양재홀,서울특별시 서초구 바우뫼로37길 45,37.48048538,127.0384175
공연장,링크아트센터드림,서울특별시 종로구 동숭길 123,37.58328618,127.0032934
공연장,스파찌오 루체,서울특별시 용산구 이태원로 213,37.53501717,126.9975911
공연장,링크아트센터,서울 종로구 대학로14길 29 링크아트센터,37.58468995,127.0022947
공연장,샤론아트홀,서울특별시 서초구 서초대로40길 49 지하1층,37.48943808,127.0082294
