카테고리,기관명,주소,위도,경도
운동시설,남진헬스,서울특별시 금천구 시흥대로 82,37.44134841,126.9038555
운동시설,더 보스짐,서울특별시 금천구 시흥대로 165,37.44790332,126.9007227
운동시설,헬로우PT,서울특별시 서초구 청계산로 193,37.44814564,127.0556225
운동시설,Just crew(저스트 크루),서울특별시 금천구 시흥대로 172,37.44946157,126.9030484
운동시설,뉴마인드짐,서울특별시 금천구 시흥대로 172,37.44946157,126.9030484
운동시설,트리니코스,서울특별시 금천구 금하로 755-3,37.45019423,126.9136897
운동시설,에스인핏PT,서울특별시 금천구 독산로 31-1,37.45031457,126.9056281
운동시설,시흥동점 스포애니 (주)케이디헬스케어,서울특별시 금천구 금하로 720,37.45044256,126.9094817
운동시설,프리미엄 데이원 휘트니스,서울특별시 금천구 시흥대로 189,37.4506395,126.9014625
운동시설,프로바디핏,서울특별시 금천구 탑골로 5,37.45110075,126.9100764
운동시설,시티짐 금천점,서울특별시 금천구 금하로 705,37.45157084,126.9083613
운동시설,day one fitness,서울특별시 금천구 시흥대로50길 31,37.4517429,126.90378
운동시설,디지피트니스(DGFIT)&골프,서울특별시 금천구 시흥대로 202 (시흥동,37.45196571,126.9021163
운동시설,일루고짐,서울특별시 금천구 금하로 793,37.45221259,126.9182453
운동시설,G.X휘트니스센터,서울특별시 금천구 시흥대로 215 (시흥동),37.4529344,126.9008401
운동시설,파워짐,서울특별시 금천구 금하로 644,37.45427574,126.9023595
운동시설,리버스짐 금천점,서울특별시 금천구 독산로 87,37.45512276,126.9056574
운동시설,퍼펙트짐,서울특별시 금천구 한내로 62,37.45539127,126.8888776
운동시설,핏메이트 크로스핏,서울특별시 금천구 시흥대로63길 64 (시흥동),37.45574789,126.8961022
운동시설,지7 워크아웃(휘트니스),서울특별시 금천구 시흥대로73길 67,37.45594256,126.8957474
운동시설,엑스(x)휘트니스,서울특별시 서초구 양재대로2길 109,37.4561155,127.0137834
운동시설,에비뉴,서울특별시 서초구 헌릉로 170,37.45711481,127.0587223
운동시설,제이미 피티 스튜디오,서울특별시 금천구 시흥대로 266,37.45752185,126.8999192
운동시설,ONE PT,서울특별시 금천구 벚꽃로 30,37.45822291,126.8937104
운동시설,오운스테이지,서울특별시 금천구 벚꽃로 30,37.45822291,126.8937104
운동시설,브이,서울특별시 금천구 독산로 123 (시흥동),37.45822583,126.9050709
운동시설,하이블짐 독산점,서울특별시 금천구 시흥대로 277,37.45834121,126.8985235
운동시설,에펠짐,서울특별시 금천구 시흥대로 278,37.4585336,126.8994907
운동시설,비버짐,서울특별시 금천구 독산로 140-1,37.45992769,126.9052222
운동시설,퍼펙트 P.T,서울특별시 금천구 시흥대로 291,37.45995605,126.8966992
운동시설,박교수 체형교정센터,서울특별시 관악구 난곡로 53,37.46022216,126.9193266
운동시설,프리원핏 시흥점,서울특별시 금천구 독산로 145,37.46030872,126.9046448
운동시설,SOAR GYM,서울특별시 금천구 시흥대로 315,37.46099111,126.8962652
운동시설,짐스터 독산점 헬스PT,서울특별시 금천구 시흥대로 310,37.46126907,126.898434
운동시설,택짐피티샵,서울특별시 금천구 독산로 167,37.46218309,126.9042012
운동시설,내추럴홍피트니스,서울특별시 서초구 매헌로 16,37.46246735,127.0369479
운동시설,Top-tier GYM,서울특별시 관악구 난곡로 84,37.4629028,126.9193909
운동시설,에스바디짐,서울특별시 금천구 벚꽃로 73,37.46291004,126.8904233
운동시설,헬스119,서울특별시 관악구 광신길 104 (신림동),37.46372606,126.92601
운동시설,뉴금천휘트니스,서울특별시 금천구 독산로54길 32 (시흥동),37.46401196,126.9071349
운동시설,N피티앤필라테스,서울특별시 서초구 태봉로 62,37.46405707,127.0249976
운동시설,바디트레이닝(미),서울특별시 관악구 난곡로 98,37.46407543,126.9194584
운동시설,데일리 휘트니스,서울특별시 관악구 난곡로 100,37.46450018,126.9196137
운동시설,Hong gym,서울특별시 관악구 난곡로 100,37.46450018,126.9196137
운동시설,짐웨이 독산점,서울특별시 금천구 독산로64길 15,37.4652296,126.9034354
운동시설,주식회사 인스타짐 독산역점,서울특별시 금천구 범안로 1130,37.46552156,126.8876722
운동시설,알앤디 피티 앤 필라테스,서울특별시 서초구 성촌1길 12,37.46566234,127.0221423
운동시설,알앤디피티,서울특별시 서초구 성촌1길 12,37.46566234,127.0221423
운동시설,팔로우짐,서울특별시 강남구 헌릉로 569 (세곡동),37.46575802,127.1012262
운동시설,슬림한 바디,서울특별시 금천구 시흥대로 362,37.4658572,126.8980248
운동시설,주식회사 짐베스트,서울특별시 금천구 범안로 1212,37.46603524,126.8962641
운동시설,퍼플짐앤요가,서울특별시 금천구 독산로 217 (독산동),37.46614432,126.9016016
운동시설,짐박스피트니스 서울대기숙사점,서울특별시 관악구 관악로 1,37.46628727,126.9481564
운동시설,서울대학교 Double S Fitness,서울특별시 관악구 관악로 1,37.46628727,126.9481564
운동시설,커스텀PT,서울특별시 금천구 범안로 1174,37.46639215,126.8921544
운동시설,전자서울 R&D 피트니스센터,서울특별시 서초구 성촌길 56 (주)삼성전자 서울R&D캠퍼스 (우면동),37.46652055,127.0231268
운동시설,에이치 짐,서울특별시 금천구 독산로 221,37.46677423,126.9015068
운동시설,커브스 세곡클럽,서울특별시 강남구 헌릉로569길 9,37.46678961,127.1007773
운동시설,네이처바이트 주식회사,서울특별시 서초구 성촌4길 11,37.46702762,127.0218143
운동시설,책임Gym,서울특별시 강남구 헌릉로571길 60-1,37.46757799,127.0982078
운동시설,바디다짐,서울특별시 금천구 시흥대로115길 13,37.46790837,126.8969045
운동시설,아이러브 휘트니스,서울특별시 서초구 강남대로 27 (양재동,37.46827871,127.0391364
운동시설,갤럭시아스포츠클럽 더케이호텔점,서울특별시 서초구 바우뫼로12길 70 (양재동,37.4682875,127.0330647
운동시설,빌드업피트니스PT 독산점,서울특별시 금천구 가산디지털1로 24,37.46841605,126.8876624
운동시설,바디채널핏 독산점,서울특별시 금천구 시흥대로 392 (독산동),37.46845624,126.898315
운동시설,곰짐(Gom Gym),서울특별시 관악구 호암로22길 60,37.46854239,126.9361636
운동시설,PHOENIX 휘트니스 클럽,서울특별시 관악구 호암로22길 83,37.46865398,126.9374238
운동시설,팩토리짐,서울특별시 금천구 두산로 70,37.46896278,126.8956207
운동시설,PT DAY,서울특별시 관악구 대학5길 26 (신림동),37.46914875,126.9392005
운동시설,힙짐(HIP GYM),서울특별시 관악구 대학5길 6,37.46916399,126.9380052
운동시설,With Gym(위드짐),서울특별시 관악구 대학5길 8,37.46917583,126.9382423
운동시설,1981골프앤휘트니스,서울특별시 금천구 시흥대로 399 (독산동,37.46935918,126.8970019
운동시설,메타 크로스핏,서울특별시 관악구 대학길 26,37.46961362,126.937716
운동시설,운동하는날,서울특별시 서초구 바우뫼로6길 16,37.4696162,127.0259217
운동시설,KuksooL Multi-Gym,서울특별시 관악구 호암로24길 35,37.46966366,126.9351036
운동시설,BEEFIT STUDIO,서울특별시 서초구 바우뫼로6길 8-4,37.46986679,127.0254241
운동시설,더 슈트(The SUIT),서울특별시 관악구 신림로15길 3,37.46999387,126.9374058
운동시설,더블에스 휘트니스,서울특별시 금천구 범안로11길 78,37.47011858,126.8905282
운동시설,짐박스피트니스 신림본점,서울특별시 관악구 신림로 99,37.47022407,126.9384307
운동시설,밸런스 메이트 PT STUDIO,서울특별시 관악구 대학길 6,37.47030436,126.9377647
운동시설,짐박스 신림3호점,서울특별시 관악구 신림로23길 16,37.47048117,126.9344768
운동시설,fitness SUIT,서울특별시 관악구 호암로26길 47,37.47048456,126.9362342
운동시설,주식회사중평알앤에스,서울특별시 서초구 바우뫼로7길 3,37.47054847,127.0251002
운동시설,바디케이PT 난곡점,서울특별시 관악구 난곡로 173 (신림동),37.4705631,126.9196341
운동시설,오프더팻(OFF THE FAT),서울특별시 서초구 강남대로16길 14-2,37.47068257,127.0397658
운동시설,동방헬스타운,서울특별시 관악구 호암로26길 17,37.47074902,126.9346072
운동시설,동방 짐,서울특별시 관악구 호암로26길 17,37.47074902,126.9346072
운동시설,우리동네운동박사 서초점,서울특별시 서초구 바우뫼로7길 8,37.47085458,127.0253807
운동시설,평화체육관(Pyeonghwa gym),서울특별시 금천구 벚꽃로 180,37.47098087,126.8880471
운동시설,서울대벤처타운역점 스포애니 (주)케이디헬스케어,서울특별시 관악구 신림로 135,37.47109169,126.9343188
운동시설,원펀짐,서울특별시 관악구 신림로 108,37.4711305,126.937598
운동시설,핫해짐,서울특별시 금천구 가산디지털1로 58,37.47125268,126.8865163
운동시설,RSM 휘트니스,서울특별시 금천구 가산디지털2로 30 (가산동),37.47127461,126.8836766
운동시설,엔짐 독산점,서울특별시 금천구 시흥대로123길 47,37.47139321,126.8955722
운동시설,퍼스트짐,서울특별시 서초구 동산로12길 4,37.47155295,127.0450431
운동시설,크로스핏 모브,서울특별시 금천구 시흥대로 426,37.47156899,126.8987722
운동시설,이너멜핏,서울특별시 관악구 신림로 132,37.47160509,126.9349719
운동시설,이너멜 피트니스,서울특별시 관악구 신림로 132,37.47160509,126.9349719
운동시설,신협헬스장,서울특별시 금천구 독산로 281 (독산동),37.47181169,126.9029207
운동시설,윔짐,서울특별시 강남구 밤고개로23길 10-23,37.4720564,127.108964
운동시설,헐크짐,서울특별시 서초구 동산로13길 6,37.47218379,127.0454116
운동시설,무브라이프짐,서울특별시 관악구 난곡로 194,37.47226977,126.919609
운동시설,언남문화체육센터,서울특별시 서초구 동산로13길 35 (양재동,37.47233002,127.0430052
운동시설,아크로 휘트니스,서울특별시 관악구 인헌길 68 (봉천동),37.47236567,126.9663532
운동시설,조이풀 피티샵,서울특별시 관악구 신림로 148,37.47239452,126.9337777
운동시설,그린헬스,서울특별시 금천구 가산로 85 (독산동),37.47361934,126.8945564
운동시설,짐박스피트니스 난곡점,"서울특별시 관악구 난곡로 210 (신림동,6,7층)",37.47372985,126.918545
운동시설,낙성대점 스포애니 (주)케이디헬스케어,서울특별시 관악구 인헌6길 15 (봉천동),37.47377508,126.9659053
운동시설,프라이빗 짐,"서울특별시 강남구 밤고개로 231, 훼미리타운 에이동 208호 (자곡동)",37.47381092,127.1073167
운동시설,웰메이드피티샵,"서울특별시 금천구 가산디지털2로 67 (가산동, 에이스 하이엔드타워7)",37.47422166,126.8810824
운동시설,피트니스메이트,"서울특별시 관악구 과천대로 939, B301호 (남현동, 르메이에르강남타운2)",37.47437717,126.9814302
운동시설,비기닝PT스튜디오,"서울특별시 금천구 가산로 96, 4층 (독산동)",37.47453555,126.8943229
운동시설,first-step Gym,"서울특별시 관악구 난곡로 227-1, 3층 (신림동)",37.47456822,126.9167014
운동시설,레드우드 휘트니스,서울특별시 관악구 미성길 27,37.47461483,126.915603
운동시설,VIP GYM,"서울특별시 금천구 시흥대로149길 63, 2층 (독산동)",37.47466582,126.8947195
운동시설,스피드순환운동,"서울특별시 서초구 바우뫼로 106  (양재동,(2층))",37.47466741,127.0329242
운동시설,펄스그라운드,"서울특별시 서초구 동산로19길 53, 민영빌딩 1층, 지하1층 (양재동)",37.47476949,127.0454595
운동시설,채육관,"서울특별시 관악구 남부순환로246라길 3, 스카이빌 지하1층 (봉천동)",37.4748052,126.9640544
운동시설,에이치 짐 2호점,"서울특별시 금천구 시흥대로141길 47, 푸른몬테소리어린이집 2층 (독산동)",37.47494553,126.8975186
운동시설,피티스튜디오 건강한 사람들,"서울특별시 송파구 위례광장로 290, B-15호 (장지동, 위례중앙푸르지오2단지)",37.47497012,127.1428465
운동시설,크로스핏 타우너,"서울특별시 관악구 남현1길 68-18, 지하1층 (남현동, 네스코 로와)",37.47501216,126.9811766
운동시설,짐박스피트니스 신림4호점,"서울특별시 관악구 신림로 198, 3층 (신림동)",37.47505843,126.93688
운동시설,동방헬스장,"서울특별시 관악구 서림길 22, 지하1층 (신림동)",37.47510818,126.9377416
운동시설,에스(s) 휘트니스,"서울특별시 금천구 디지털로10길 69, 가산 센트럴 푸르지오 시티 (가산동)",37.47530023,126.8908539
운동시설,멤버쉽 휘트니스 플레이 바이 어스,"서울특별시 강남구 논현로10길 29, 5층 (개포동)",37.4753216,127.0503954
운동시설,교통문화교육원 헬스크럽,"서울특별시 관악구 남현1길 38-10, 1층 (남현동)",37.47537657,126.9792451
운동시설,스포애니 가산동점,서울특별시 금천구 가산로 106,37.47544481,126.8936809
운동시설,천프로짐,"서울특별시 관악구 남현2길 62, 인성빌딩 1층 (남현동)",37.4755296,126.9739662
운동시설,월드짐 휘트니스,서울특별시 관악구 신림로 206 (신림동),37.4756288,126.9374469
운동시설,다름 PT STUDIO 낙성대,"서울특별시 관악구 남부순환로246길 18, 3층 (봉천동)",37.47571446,126.9642194
운동시설,렛츠핏 가산점,"서울특별시 금천구 시흥대로153길 99 (가산동,신평대일타운 6층)",37.47577276,126.8933637
운동시설,운동하는날 낙성대점,"서울특별시 관악구 봉천로 604, 진원빌딩 지층 (봉천동)",37.47593021,126.9640765
운동시설,일루고짐,"서울특별시 금천구 시흥대로153길 95, 지하1층 (가산동)",37.47596726,126.8935315
운동시설,프리원핏 사당점,"서울특별시 관악구 남현2길 8, 지층 (남현동)",37.47598964,126.9769285
운동시설,중앙헬스클럽,"서울특별시 금천구 가산로 116, 2층 (가산동)",37.47610711,126.8931448
운동시설,짐박스피트니스 사당2호점,서울특별시 관악구 남부순환로 2074 (남현동),37.47613564,126.9790706
운동시설,GOGO점핑 다이어트,"서울특별시 관악구 난우길 41, 3층 (신림동)",37.47617875,126.9171784
운동시설,휴코어 낙성대점,"서울특별시 관악구 남부순환로 1944, 지하1층 B01호 (봉천동)",37.47631443,126.9647987
운동시설,바디에프오 낙성대점,"서울특별시 관악구 남부순환로 1951, 3층 (봉천동)",37.47638923,126.966079
운동시설,사당역점 스포애니 (주)케이디헬스케어,"서울특별시 관악구 남부순환로 2064, 지하1층 (남현동)",37.47640216,126.9780989
운동시설,근육터짐 지방빠짐,"서울특별시 관악구 남부순환로 2062, 3층 (남현동)",37.47640995,126.9778009
운동시설,버핏그라운드 가산,"서울특별시 금천구 디지털로 178, 퍼블릭가산 B동 지1,2층 E-B101,M-B147,E-B201호 (가산동)",37.47643941,126.8873317
운동시설,휘트니스 에일린,"서울특별시 관악구 남부순환로 1940, 지하1층 B101호 (봉천동)",37.47647493,126.9642871
운동시설,바디워크,"서울특별시 서초구 방배로 16, 주심빌딩 4층 (방배동)",37.47652276,127.0012438
운동시설,트윈PT,"서울특별시 관악구 남부순환로 1936, 벽천빌딩 3층 (봉천동)",37.47661926,126.9639592
