카테고리,기관명,주소,위도,경도
노래방,왕,서울특별시 금천구 삼성산길 7 (시흥동),37.4341661,126.9042429
노래방,콜라노래연습장,서울특별시 금천구 시흥대로 93 (시흥동),37.4424158,126.9032423
노래방,엔젤,서울특별시 금천구 시흥대로28길 15 (시흥동),37.4424553,126.9046213
노래방,파티파티,서울특별시 금천구 시흥대로 94-1 (시흥동),37.44250965,126.9039741
노래방,여우,서울특별시 금천구 시흥대로 100 (시흥동),37.44297417,126.9040399
노래방,신세계,"서울특별시 금천구 시흥대로 149 (시흥동,지하1층)",37.44737249,126.9029509
노래방,짱,서울특별시 금천구 시흥대로41길 3  (시흥동),37.44760426,126.9026654
노래방,대박노래연습장,서울특별시 서초구 청계산로 189 (신원동),37.4482584,127.0553463
노래방,엠엔스타,"서울특별시 금천구 시흥대로 163, 지하1층 (시흥동)",37.44847746,126.902474
노래방,여우,서울특별시 금천구 금하로24길 28 (시흥동),37.44981372,126.9082835
노래방,엘리제,서울특별시 금천구 금하로28길 4  (시흥동),37.44986065,126.912186
노래방,샛별,서울특별시 금천구 금하로24길 16 (시흥동),37.45028123,126.9083756
노래방,싸이 노래연습장,"서울특별시 금천구 금하로29길 6 (시흥동,2층)",37.45032856,126.9125653
노래방,앤노래연습장,서울특별시 금천구 금하로 726 (시흥동),37.45037802,126.9102726
노래방,101코인노래연습장,서울특별시 금천구 금하로 726 (시흥동),37.45037802,126.9102726
노래방,동원노래방,"서울특별시 금천구 금하로24길 9, 동원빌딩 3층 (시흥동)",37.45053803,126.9087325
노래방,로비,서울특별시 금천구 금하로24길 7 (시흥동),37.45065811,126.9088159
노래방,한마음토마토,"서울특별시 금천구 탑골로 1 (시흥동,지하1층)",37.4508651,126.9097932
노래방,우리들,서울특별시 금천구 시흥대로51길 19 (시흥동),37.45098701,126.9006961
노래방,우정,서울특별시 금천구 은행나무로 47 (시흥동),37.45105067,126.907639
노래방,희,서울특별시 금천구 은행나무로 49 (시흥동),37.45106672,126.9077779
노래방,까르푸,"서울특별시 금천구 시흥대로 192 (시흥동,정암산빌딩지하)",37.45109857,126.902336
노래방,써니,"서울특별시 금천구 금하로25길 1, 지하1층 (시흥동)",37.45126892,126.9088325
노래방,뉴OK,서울특별시 금천구 시흥대로50길 18 (시흥동),37.45135104,126.9031088
노래방,카멜,서울특별시 금천구 금하로23길 4 (시흥동),37.45135602,126.9087989
노래방,SBS,서울특별시 금천구 시흥대로 196 (시흥동),37.45140375,126.9022383
노래방,스타,서울특별시 금천구 시흥대로50길 26 (시흥동),37.45149264,126.903611
노래방,히트,서울특별시 금천구 시흥대로50길 11 (시흥동),37.45153571,126.9028408
노래방,궁전,서울특별시 금천구 독산로 49 (시흥동),37.45172521,126.905755
노래방,쌍쌍,"서울특별시 금천구 금하로 690, 지하층 (시흥동)",37.45180078,126.9066318
노래방,썸,서울특별시 금천구 시흥대로52길 8 (시흥동),37.45181424,126.9027621
노래방,쥬쥬,서울특별시 금천구 금하로 695 (시흥동),37.45190477,126.907336
노래방,꿈,서울특별시 금천구 독산로 54 (시흥동),37.4519548,126.9062195
노래방,럭셔리 노래연습장,"서울특별시 금천구 독산로 53 (시흥동,2층)",37.45200837,126.905827
노래방,은행나무,서울특별시 금천구 금하로23길 23 (시흥동),37.45230317,126.9085782
노래방,쟁반,서울특별시 금천구 시흥대로52길 24 (시흥동),37.45244473,126.9024948
노래방,스타,서울특별시 금천구 금하로1마길 15-9  (독산동),37.45270007,126.8895851
노래방,노래야노래야 코인노래연습장 시흥사거리점,"서울특별시 금천구 시흥대로 214, 비즈메드빌딩 2층 (시흥동)",37.45304289,126.9017122
노래방,012,"서울특별시 금천구 시흥대로52길 38 (시흥동,2층)",37.45306685,126.9022503
노래방,테마,서울특별시 금천구 금하로14길 6 (시흥동),37.4532878,126.9038063
노래방,온에어코인노래연습장,"서울특별시 금천구 시흥대로52길 51, 지하1층 (시흥동)",37.45359732,126.9017533
노래방,우지트 노래연습장,서울특별시 금천구 시흥대로52길 52 (시흥동),37.45365567,126.9020358
노래방,태양,서울특별시 금천구 독산로 74 (시흥동),37.45386953,126.9063273
