카테고리,기관명,주소,위도,경도
PC방,놀이터,"서울특별시 금천구 시흥대로 89, 지상1층 (시흥동)",37.4421750294665,126.903113783108
PC방,우리PC방,서울특별시 금천구 시흥대로28길 15 (시흥동),37.4424552998283,126.904621332671
PC방,레드PC방,"서울특별시 금천구 시흥대로 167 (시흥동, 지하1층)",37.4488042970905,126.902415519167
PC방,콜PC,"서울특별시 금천구 독산로 28, 지상1층 (시흥동)",37.4498723314104,126.905938249671
PC방,세븐pc방,"서울특별시 금천구 금하로 720, 4층 401호 (시흥동, 에벤에셀프라자)",37.4504425566682,126.909481684032
PC방,베스트pc,"서울특별시 금천구 금하로24길 9, 2층 (시흥동)",37.4505380285323,126.908732505043
PC방,레벨업PC카페,"서울특별시 금천구 탑골로 2, 관악농협협동조합 지하1층 (시흥동)",37.4507714528535,126.910224929258
PC방,승리PC방,"서울특별시 금천구 은행나무로 49, 3층 (시흥동)",37.4510667229373,126.907777895704
PC방,두꺼비PC,"서울특별시 금천구 은행나무로 51, 1층 (시흥동)",37.4511560766684,126.908090501302
PC방,신게임PC,"서울특별시 금천구 금하로14길 46, 1층 (시흥동)",37.4514030844103,126.904059356921
PC방,위너스 피씨(winners pc),"서울특별시 금천구 시흥대로 196, 지하1층 (시흥동)",37.4514037545389,126.902238323181
PC방,은행피씨,"서울특별시 금천구 독산로 47, 1층 (시흥동)",37.4515017761264,126.905777534135
PC방,ACE PC방,"서울특별시 금천구 독산로 50  (시흥동,1층(전체금연))",37.4517233072838,126.906195418645
PC방,스페이스pc,"서울특별시 금천구 금하로 687, 2층층 (시흥동)",37.4521462593488,126.906557450598
PC방,노블pc방,"서울특별시 금천구 금하로23길 23 (시흥동,2층)",37.4523031744628,126.90857823852
PC방,제로백피씨방 은행나무사거리점,"서울특별시 금천구 독산로 56, 2층 (시흥동)",37.4523751311113,126.906234386931
PC방,메타PC 금천본점,"서울특별시 금천구 시흥대로 214, 비즈메드빌딩 2층 201,202호 (시흥동)",37.4530428916984,126.901712234507
PC방,PC방 GO,"서울특별시 금천구 시흥대로 226, 지상3층 (시흥동, 배피부비뇨과의원)",37.4540886310241,126.901200465907
PC방,시흥PC,"서울특별시 금천구 시흥대로57길 46, 지하층 (시흥동)",37.4542721664236,126.90012743209
PC방,와꾸대장PC,"서울특별시 금천구 시흥대로63길 33, 지하1층 (시흥동)",37.4550712319781,126.897759465115
PC방,골드PC랜드,"서울특별시 금천구 시흥대로63길 50, 지층 (시흥동)",37.4554917386009,126.896934280371
PC방,로얄PC,"서울특별시 금천구 독산로 120, 지상1층 (시흥동)",37.4579794834347,126.905509786318
PC방,블루,"서울특별시 금천구 독산로 123,  지하1층호 (시흥동)",37.4582258288751,126.905070932986
PC방,황금PC,"서울특별시 금천구 독산로 141, 1층 (시흥동)",37.4598872642435,126.904696740832
PC방,이네이처PC방(시흥점),"서울특별시 금천구 독산로41길 10-4,  2층호 (시흥동)",37.4600942249144,126.904026552591
PC방,쇼타임pc방 독산동점,"서울특별시 금천구 벚꽃로6길 21, 예일빌딩 지하1층 (독산동)",37.4608862641034,126.893363811885
PC방,메이드PC,서울특별시 금천구 독산로47길 13  (시흥동),37.4621165237364,126.903556804573
PC방,샹떼pc방독산점,"서울특별시 금천구 독산로 176, 4층층 (독산동)",37.4629594660195,126.904167121542
PC방,라이또pc방(독산점),"서울특별시 금천구 독산로 178 (독산동,2층)",37.4631277638948,126.904042456285
PC방,뉴스피씨,"서울특별시 금천구 독산로 191-1, 3층호 (독산동)",37.4641256627696,126.902864594209
PC방,PC마루,"서울특별시 금천구 독산로 194, 지하1층 (독산동)",37.4643593846438,126.903193452311
PC방,5스타 PC방,"서울특별시 관악구 난곡로 100, A동 205~206호 (신림동, 파로스프라자)",37.4645001795391,126.919613685063
PC방,기린PC방,"서울특별시 금천구 독산로64길 15, 4층 (독산동)",37.4652295989557,126.903435360244
PC방,Cool.K.PC방,"서울특별시 관악구 대학14길 18, 지하1층 (신림동)",37.4664327706546,126.936842153058
PC방,해커스 PC방,"서울특별시 관악구 신림로17길 76, 1층 (신림동)",37.4674210125893,126.936195521263
PC방,Steam PC cafe,"서울특별시 관악구 대학길 52, 2층 (신림동)",37.4682688699968,126.937556388983
PC방,Yak PC방,"서울특별시 관악구 호암로22길 70-3, 지하1층 (신림동)",37.4683153546224,126.936695536584
PC방,3POP,"서울특별시 관악구 대학길 47, 지하1층 (신림동)",37.4686171509232,126.937803548906
PC방,생생PC방,"서울특별시 금천구 독산로74길 33, 1층 (독산동)",37.4686959961273,126.904245146011
PC방,망고톡 PC,"서울특별시 관악구 신림로17길 41, 1층 (신림동)",37.4688572098031,126.936503924501
PC방,오뚝이PC,"서울특별시 금천구 독산로 248, 1층 (독산동)",37.468918991702,126.902586072395
PC방,스타PC방,"서울특별시 관악구 대학길 36, 2층 (신림동)",37.4691242093594,126.93757500788
PC방,아이언피쉬,"서울특별시 서초구 동산로 7, 지하1층 (양재동)",37.4692386239733,127.040533696282
PC방,3S PC 녹두거리점,"서울특별시 관악구 호암로24길 77, 지하1층 (신림동)",37.4693157781194,126.937601300726
PC방,피씨태그 PC방,"서울특별시 관악구 호암로24길 24, 지하1층 (신림동, 대학관고시텔)",37.4695260024167,126.934472868269
