카테고리,기관명,주소,위도,경도
영화관,(주)강제규필름,서울특별시 강남구 강남대로 438  (역삼동),37.5016428104731,127.026336096148
영화관,(주)써니트 롯데시네마 수유,서울특별시 강북구 도봉로 308 (번동),37.6356640949861,127.02383520999
영화관,(주)지원엠엠시네마 동대문지점,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티)",37.5668021171335,127.007358177138
영화관,(주)케이엠티브이,서울특별시 강남구 학동로 171  (논현동),37.5140467250769,127.029550652058
영화관,CGV 수유,"서울특별시 강북구 도봉로 399, 4층 (수유동)",37.6424075100379,127.029806166339
영화관,CGV Salon 서초,"서울특별시 서초구 효령로 391, B2층 (서초동, 서초그랑자이)",37.4893225494193,127.024591003338
영화관,CGV 건대입구,"서울특별시 광진구 아차산로30길 26, 몰오브케이 3층 (자양동)",37.5397607621364,127.066887730045
영화관,CGV 대학로,"서울특별시 종로구 대명길 28 (명륜2가,지하3층)",37.5834579529328,126.999842630109
영화관,CGV 동대문,"서울특별시 중구 장충단로13길 20, 현대시티타워 10층 (을지로6가)",37.568734553218,127.007666479829
영화관,CGV 등촌,서울특별시 강서구 공항대로45길 63,37.5578690013942,126.856001180153
영화관,CGV 명동,서울특별시 중구 퇴계로 123 (충무로2가),37.5612658980395,126.985364301804
영화관,CGV 성신여대입구,"서울특별시 성북구 동소문로 106, 유타 10층 (동선동1가)",37.5925747617089,127.017088831326
영화관,CGV 송파,"서울특별시 송파구 충민로 66 (문정동, 가든파이브라이프영관 10층)",37.4776148442516,127.124961768886
영화관,CGV 영등포,"서울특별시 영등포구 영중로 15, 6층 (영등포동4가, 타임스퀘어)",37.5172332566615,126.903715993779
영화관,CGV 왕십리,"서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 5층 (행당동)",37.5614417528647,127.038394194396
영화관,CGV 중계,"서울특별시 노원구 동일로204가길 12 (중계동, 홈플러스)",37.6398580838556,127.068668049616
영화관,CGV 천호,"서울특별시 강동구 양재대로 1571, 4층 (천호동)",37.5457145865749,127.14225531407
영화관,CGV 청담씨네시티,서울특별시 강남구 도산대로 323 (신사동),37.5228971585502,127.037016265027
영화관,CGV 피카디리1958,"서울특별시 종로구 돈화문로5가길 1, 지하2층 (돈의동)",37.5710275098022,126.991230294263
영화관,CGV 하계,서울특별시 노원구 섬밭로 258 (중계동),37.6391097783726,127.064915087375
영화관,CGV강변,"서울특별시 광진구 광나루로56길 85, 10층 (구의동, 테크노마트)",37.535725176732,127.095692162256
영화관,CGV구로,"서울특별시 구로구 구로중앙로 152 (구로동, 애경백화점 6층)",37.5011601442131,126.882773011925
영화관,CGV불광,"서울특별시 은평구 불광로 20, 13층 (대조동, 팜스퀘어)",37.6097357749976,126.928938477038
영화관,CGV상봉,"서울특별시 중랑구 상봉로 131, 지하1,2층 (상봉동, 상봉듀오트리스주상복합)",37.5974066200134,127.092177640813
영화관,CGV신촌아트레온,"서울특별시 서대문구 신촌로 129, 아트레온 지하1층 (창천동)",37.5565639285478,126.940328119434
영화관,CGV압구정 ART,"서울특별시 강남구 압구정로30길 45, 지하2층, 지하5층 (신사동)",37.5243502735902,127.029403239407
영화관,CGV압구정,서울특별시 강남구 논현로 848 (신사동),37.5245744023832,127.0288370151
영화관,CGV여의도,"서울특별시 영등포구 국제금융로 10, B3층 (여의도동, IFC)",37.5251775245928,126.924876706923
영화관,CGV연남,"서울특별시 마포구 양화로 186, LC TOWER 7~10층 (동교동)",37.5576684824211,126.92589313527
영화관,CGV홍대,서울특별시 마포구 양화로 153 (동교동),37.5564943733388,126.922631917858
영화관,CINE Q 신도림점,"서울특별시 구로구 새말로 97, 12층 (구로동, 테크노마트 신도림점)",37.5070438414784,126.890227293528
영화관,KT&G 상상마당 cinema,"서울특별시 마포구 어울마당로 65, 상상마당빌딩 지하3층, 4층 (서교동)",37.5509576951977,126.921063042067
영화관,KTX시네마,"서울특별시 중구 청파로 426 (봉래동2가,서울역)",37.5574468761736,126.969512319976
영화관,메가박스 코엑스,"서울특별시 강남구 영동대로 513 (삼성동, 코엑스)",37.5118239121138,127.059159043842
영화관,강남비디오소극장,서울특별시 강남구 학동로 118  (논현동),37.5116328572551,127.023923410549
영화관,극동극장,서울특별시 중구 퇴계로 211-5  (충무로4가),37.561929293405,126.995026731814
영화관,낭만극장,"서울특별시 종로구 삼일대로 428, 4층 (낙원동)",37.5727635233966,126.987902476529
영화관,더숲 아트시네마,"서울특별시 노원구 노해로 480 (상계동, 조광빌딩)",37.6541794204255,127.061435135164
영화관,독립영화전용관 인디스페이스,"서울특별시 마포구 양화로 176, 동교동 스타피카소 8층 (동교동)",37.5572467836494,126.924986220455
영화관,떼아뜨르 이동영화,서울특별시 구로구 개봉로3길 109  (개봉동),37.4856132040052,126.850751731056
영화관,라이카시네마,"서울특별시 서대문구 연희로8길 18, 지하1층동 (연희동)",37.5651674709792,126.930936157626
영화관,롯데시네마,서울특별시 강동구 천호옛길 85 (성내동),37.5366333948264,127.125335580215
영화관,롯데시네마 가산디지털,"서울특별시 금천구 디지털로10길 9, 현대시티아울렛 가산점 (가산동)",37.4776190161713,126.88905533739
영화관,롯데시네마 건대입구관,"서울특별시 광진구 아차산로 272, 더샵스타시티 (자양동)",37.5385582736952,127.072996184863
영화관,롯데시네마 김포공항,"서울특별시 강서구 하늘길 38 (방화동, 스카이파크)",37.5713695798026,126.802960133589
영화관,롯데시네마 노원,서울특별시 노원구 동일로 1414 (상계동),37.6552787315469,127.061391730931
영화관,롯데시네마 독산,서울특별시 금천구 시흥대로 399 (독산동),37.4693591753013,126.897001948519
영화관,롯데시네마 서울대입구,"서울특별시 관악구 남부순환로 1820, 12층 (봉천동, 에그엘로우)",37.4809479979455,126.952083773717
영화관,롯데시네마 신대방,"서울특별시 동작구 시흥대로 606, 지2층 (신대방동, 동작 협성휴포레 시그니처)",37.4864917793931,126.905526238207
영화관,롯데시네마 신림,"서울특별시 관악구 신림로 330 (신림동,14층)",37.4838513393186,126.930234545397
영화관,롯데시네마 영등포,"서울특별시 영등포구 경인로 846, A동 7~9층 (영등포동, 롯데백화점 영등포점)",37.5156680341198,126.907665995469
영화관,롯데시네마 월드타워,"서울특별시 송파구 올림픽로 300, 엔터테인먼트동 5~11층 (신천동, 롯데월드몰)",37.5137129859207,127.104301829165
영화관,롯데시네마 은평,서울특별시 은평구 통일로 1050 (진관동),37.6375366740938,126.917900261732
영화관,롯데시네마 중랑관,서울특별시 중랑구 동일로 951 (묵동),37.6151499459916,127.076057076024
영화관,롯데시네마 합정,"서울특별시 마포구 양화로 45, 2층 (서교동, 메세나폴리스)",37.5515008030203,126.91395024016
영화관,롯데시네마청량리,"서울특별시 동대문구 왕산로 214, 8층,9층 (전농동, 청량리민자역사)",37.584197400389,127.05114503929
영화관,롯데컬처웍스㈜,서울특별시 강남구 남부순환로 2753 (도곡동),37.4874807715334,127.04698960023
영화관,롯데컬처웍스(주)롯데시네마,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티 제타워동 7~8층 일부)",37.5081230677129,126.888212953215
영화관,메가박스 강동,서울특별시 강동구 성내로 48 (성내동),37.5284455288195,127.125357402766
영화관,메가박스 군자,서울특별시 광진구 능동로 289 (군자동),37.5557904109818,127.078344497368
영화관,메가박스 브로드웨이,"서울특별시 강남구 도산대로8길 8 (논현동,2층)",37.5163705406376,127.02194180264
영화관,메가박스 브로드웨이,"서울특별시 강남구 도산대로 116 (논현동,외2필지)",37.5166065016895,127.021516108092
영화관,메가박스 송파파크하비오점,"서울특별시 송파구 송파대로 111, 하비오길동 호텔로202동 214호 (문정동, 파크하비오)",37.4796870553794,127.124979804141
영화관,메가박스 씨티(강남대로),서울특별시 강남구 강남대로 422 (역삼동),37.5003941401087,127.026984908497
영화관,메가박스 창동,서울특별시 도봉구 도봉로 558 (창동),37.6546022496976,127.038732219793
영화관,메가박스(주) 이수지점,"서울특별시 동작구 동작대로 89 (사당동,골든씨네마 7층)",37.4846140265703,126.981665713772
영화관,메가박스중앙(주) 강남,"서울특별시 서초구 서초대로77길 3, 아라타워 9층 (서초동)",37.4980609129976,127.026504807476
영화관,메가박스중앙(주) 마곡지점,"서울특별시 강서구 공항대로 247, 4층 (마곡동, 퀸즈파크나인)",37.5593135416408,126.83523920295
영화관,메가박스중앙(주) 목동지점,"서울특별시 양천구 목동동로 309 (목동,행복한세상백화점 7층)",37.5292109947037,126.875984665042
영화관,메가박스중앙(주) 상봉지점,서울특별시 중랑구 망우로30길 3 (상봉동),37.5930806702101,127.0747508051
영화관,메가박스중앙(주) 상암월드컵경기장지점,"서울특별시 마포구 월드컵로 240 (성산동,월드컵쇼핑몰내 1층)",37.5682884450841,126.897273034482
영화관,메가박스중앙(주) 성수지점,"서울특별시 성동구 왕십리로 50, 메가박스 스퀘어 3층 (성수동1가)",37.5419000229184,127.044975552245
영화관,메가박스중앙(주) 센트럴 더부티크,"서울특별시 서초구 신반포로 176, 센트럴시티 지하1층 (반포동)",37.5039351769908,127.002413006799
영화관,메가박스중앙(주) 신촌지점,"서울특별시 서대문구 신촌역로 30 (신촌동,5층)",37.5598241279561,126.942386979371
영화관,메가박스중앙(주) 홍대지점,"서울특별시 마포구 양화로 147, 아일렉스 7층 (동교동)",37.5560502523992,126.922054509333
영화관,메가박스중앙(주)더부티크목동현대백화점,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",37.5273217750941,126.874619136454
영화관,명동시네마,"서울특별시 중구 명동8나길 15  (충무로1가,8,9,10층)",37.5612633940942,126.984115903127
영화관,명보아트홀,서울특별시 중구 마른내로 47  (초동),37.5647056236712,126.993214191194
영화관,모노플렉스 앳 라이즈,"서울특별시 마포구 양화로 130, 라이즈호텔 4층 (서교동)",37.5543349117636,126.921207395382
영화관,서울아트시네마,"서울특별시 중구 정동길 3, 경향신문사 2층 (정동)",37.5681732680976,126.969976113229
영화관,시네아스트극장,"서울특별시 중구 마른내로 41  (초동,초동빌딩3층)",37.5645459184175,126.992413746356
영화관,씨너스 이오이(EOE)4 남산자동차극장,서울특별시 중구 장충단로 72 (장충동2가),37.5516383586201,127.002523184791
영화관,씨네마강남,서울특별시 강남구 도산대로 128  (논현동),37.5169719062298,127.02270573272
영화관,씨네예술관,서울특별시 강남구 언주로150길 14  (논현동),37.5209786624562,127.035519854036
영화관,씨네큐브광화문,"서울특별시 종로구 새문안로 68, 흥국생명빌딩 지하2층 (신문로1가)",37.5696425113058,126.972139469043
영화관,씨네하우스,서울특별시 강남구 도산대로 310  (논현동),37.5215381083611,127.035475775373
영화관,씨지브이 미아점,"서울특별시 강북구 도봉로 34, 9층 (미아동, 트레지오빌딩)",37.6120685327599,127.03072164571
영화관,씨지브이 용산아이파크몰,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",37.5297718014452,126.964741503485
영화관,아리랑시네센터,서울특별시 성북구 아리랑로 82 (돈암동),37.6001190917898,127.013893650352
영화관,아트하우스 모모-이화?KB 시네마,"서울특별시 서대문구 이화여대길 52 (대현동,이화캠퍼스복합단지 지하 4,5층)",37.5644645178259,126.950288837762
영화관,에무 시네마,"서울특별시 종로구 경희궁1가길 7, 2층 (신문로2가, 복합문화공간에무)",37.572068922706,126.969011116977
영화관,이동상영관,서울특별시 은평구 녹번로 16  (녹번동),37.6036996869964,126.927901672834
영화관,청춘극장,"서울특별시 중구 새문안로 22 (충정로1가, 문화일보)",37.5671292085624,126.968644839862
영화관,클래식시네마스페이스(주),서울특별시 강남구 도산대로 108  (논현동),37.5161918332017,127.020655869811
영화관,픽처하우스,"서울특별시 강남구 압구정로10길 9, 지하2층 (신사동)",37.5229874921731,127.022023606066
영화관,필름포럼,"서울특별시 서대문구 성산로 527, B1층 (대신동, 하늬솔빌딩)",37.5637750959193,126.944090214952
