카테고리,기관명,주소,위도,경도
보건소,,"서울특별시 종로구 자하문로19길 36 (옥인동, 종로구보건소, 청운효자동자치회관)",37.58183053,126.9692258
보건소,,"서울특별시 중구 다산로39길 16 (무학동, 중구보건소) ",37.56458574,127.0150951
보건소,,"서울특별시 중구 다산로 92 (신당동, 약수동주민센터) 약수동주민센터",37.55247345,127.0089948
보건소,,"서울특별시 중구 난계로11길 52 (황학동, 황학동주민센터) 황학동주민센터",37.56748579,127.0214192
보건소,,"서울특별시 중구 동호로15길 50 (신당동, 동사무소어린이집) ",37.55433289,127.0082945
보건소,,"서울특별시 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운) ",37.53245229,126.9904788
보건소,,"서울특별시 성동구 마장로23길 10 (홍익동, 성동구보건소) ",37.56708005,127.0332143
보건소,,"서울특별시 성동구 왕십리로5길 3 (성수동1가, 성수1가제2동 공공복합청사) ",37.54640255,127.0443497
보건소,,"서울특별시 광진구 자양로 117 (자양동, 광진구청), 보건소 보건소",37.53853161,127.0819098
보건소,,"서울특별시 광진구 긴고랑로 110 (중곡동, 중곡종합건강센터) 중곡보건지소",37.55933773,127.0870912
보건소,,"서울특별시 광진구 아차산로24길 17 (자양동, 자양공공힐링센터) 2층(자양보건지소)",37.54026343,127.0651093
보건소,,"서울특별시 동대문구 천호대로 145 (용두동, 동대문구청) 보건소",37.57439172,127.0398966
보건소,,"서울특별시 중랑구 봉화산로 179 (신내동, 중랑구청) 중랑구 보건소",37.60656359,127.0927248
보건소,,"서울특별시 중랑구 동일로114길 10 (상봉동, 상봉2동 복합청사) 상봉보건지소",37.59289195,127.0808518
보건소,,"서울특별시 성북구 화랑로 63 (하월곡동, 성북구보건소) 성북구보건소",37.60271066,127.0395333
보건소,,"서울특별시 성북구 아리랑로3길 8 (동소문동6가, 성북구보건지소 ,동선보건지소) ",37.59360802,127.015754
보건소,,"서울특별시 성북구 보국문로4길 8 (정릉동, 대진빌딩) ",37.60522963,127.0119867
보건소,,"서울특별시 성북구 한천로 568 (석관동, 장위석관보건지소) ",37.61047326,127.0634208
보건소,,"서울특별시 강북구 한천로 897 (번동, 강북보건소,번2동 주민센터) 강북구보건소",37.6318813,127.0390622
보건소,,"서울특별시 도봉구 방학로3길 117 (쌍문동, 도봉보건소, 쌍문2동주민센터) 도봉구 보건소",37.65793243,127.0388203
보건소,,"서울특별시 도봉구 덕릉로59길 73-3 (창동, 창2동주민센터(창동보건지소)) 창동 보건지소",37.64141508,127.035653
보건소,,"서울특별시 노원구 노해로 437 (상계동, 노원구청), 보건소 노원구보건소",37.65452284,127.0562683
보건소,,"서울특별시 노원구 월계로 378 (월계동, 월계보건지소) ",37.63145003,127.0615911
보건소,,"서울특별시 노원구 수락산로 212-20 (상계동, 마들보건지소) ",37.6714151,127.0552421
보건소,,"서울특별시 노원구 상계로 118 (상계동, 상계2동주민센터) 3층",37.65748313,127.0678641
보건소,,"서울특별시 노원구 공릉로 166-1 (공릉동, 공릉보건지소) ",37.62478808,127.080003
보건소,,"서울특별시 은평구 은평로 195 (녹번동, 은평구청), 은평구보건소 (녹번동)",37.60245742,126.9288229
보건소,,"서울특별시 은평구 연서로13길 29-7 (구산동, 구산보건지소) (구산동)",37.60973711,126.9127845
보건소,,"서울특별시 은평구 가좌로 195 (응암동, 응암보건지소) 응암동",37.58803458,126.9195084
보건소,,"서울특별시 서대문구 연희로 242 (연희동, 서대문구보건소), 서대문구청별관 ",37.5786098,126.9362749
보건소,,"서울특별시 서대문구 수색로 100-55 (북가좌동, 북가좌1동주민센터) 3층",37.57430267,126.9101907
보건소,,"서울특별시 마포구 월드컵로 212 (성산동, 마포구청), 마포구보건소 마포구보건소",37.56631284,126.9016157
보건소,,"서울특별시 마포구 독막로 165 (창전동, 서강동주민센터) 3층 서강보건지소",37.54773473,126.9320618
보건소,,"서울특별시 마포구 마포대로11길 44-81 (아현동, 아현문화건강센터) 2층 아현보건지소",37.54934032,126.9518822
보건소,,"서울특별시 양천구 목동서로 339 (신정동, 양천보건소) 양천구보건소",37.51770616,126.8657394
보건소,,"서울특별시 양천구 목동중앙본로7가길 11 (목동, 목동보건지소) 목동보건지소",37.54008815,126.8669731
보건소,,서울특별시 양천구 남부순환로83길 54 (신월동) 2층,37.51757901,126.8458736
보건소,,서울특별시 양천구 남부순환로 407 (신월동) 신월보건지소,37.53133706,126.8318233
보건소,,"서울특별시 강서구 공항대로 561 (염창동, 강서보건소) 강서구보건소",37.5496484,126.8682802
보건소,,"서울특별시 강서구 금낭화로 162 (방화동, 방화 메이빌 아파트) 1층",37.57957912,126.8139843
보건소,,"서울특별시 구로구 구로중앙로28길 66 (구로동, 구로5동 주민센터, 구로구보건소) ",37.50010311,126.8893378
보건소,,서울특별시 구로구 오리로10길 44-3 (오류동) ,37.48879456,126.839338
보건소,,"서울특별시 구로구 디지털로 243 (구로동, 지하이시티) ",37.48199214,126.8923489
보건소,,"서울특별시 금천구 시흥대로73길 70 (시흥동, 금천구청종합청사), 금천구보건소 금천구보건소",37.45706565,126.8960369
보건소,,"서울특별시 금천구 시흥대로12길 10-5 (시흥동, 남부도로사업소 청사) 동네방네마을이음센터 2층",37.43857718,126.9043217
보건소,,"서울특별시 영등포구 당산로 123 (당산동3가, 영등포구청) 영등포구보건소",37.52596316,126.8963671
보건소,,"서울특별시 동작구 장승배기로10길 42 (상도동, 동작문화복지센타) 동작구보건소",37.50444553,126.9410884
보건소,,"서울특별시 동작구 상도로 34 (대방동, 산맥빌딩) 동작구보건지소",37.49961665,126.9242845
보건소,,"서울특별시 관악구 관악로 145 (봉천동, 관악구청), 2동 관악구보건소",37.47821067,126.9515012
보건소,,"서울특별시 관악구 봉천로 279-7 (봉천동, 관악구보건지소) 관악구보건지소",37.48784455,126.932302
보건소,,"서울특별시 서초구 남부순환로 2584 (서초동, 서초구청, 서초구의회), 보건소 서초구 보건소",37.48362486,127.032683
보건소,,"서울특별시 서초구 방배로 173 (방배동, 방배열린문화센터(방배4동주민센터)), 방배열린문화센터 방배보건지소",37.48900761,126.9922424
보건소,,"서울특별시 서초구 서초대로38길 12 (서초동, 마제스타시티, 힐스테이트 서리풀), 타워 원 서초보건지소",37.49049503,127.0053816
보건소,,"서울특별시 강남구 선릉로 668 (삼성동, 강남구 보건소) ",37.51631743,127.0423035
보건소,,"서울특별시 송파구 올림픽로 326 (신천동, 송파구청), 보건소 보건소",37.51447718,127.10586
보건소,,"서울특별시 송파구 양산로 5 (거여동, 송파구 보건지소) 보건지소",37.48977029,127.142671
보건소,,"서울특별시 강동구 성내로 45 (성내동, 강동구보건소) .",37.52954199,127.1255855
보건소,,"서울특별시 강동구 아리수로93길 9-14 (강일동, 강일동복합청사) 1층, 2층",37.56504103,127.1739072
보건소,,"서울특별시 강동구 구천면로 297-5 (천호동, 이연아마빌레) 1층, 2층",37.54684651,127.1337755
