카테고리,기관명,주소,위도,경도
주민센터,싱흥3동 자치회관,서울특별시 금천구 시흥대로 18길 40,37.44025903,126.9058017
주민센터,내곡동 자치회관,서울특별시 서초구 청계산로 15길 77,37.44926525,127.0582288
주민센터,시흥2동 자치회관,서울특별시 금천구 금하로 764,37.44961226,126.9142942
주민센터,시흥1동 자치회관,서울특별시 금천구 시흥대로 58길 36,37.45355197,126.9032506
주민센터,시흥4동 자치회관,서울특별시 금천구 독산로 36길 14,37.45897879,126.9061844
주민센터,난향동 자치회관,서울특별시 관악구 난곡로 67,37.46150906,126.9187795
주민센터,삼성동 자치회관,서울특별시 관악구 호암로 520,37.46411546,126.9318251
주민센터,독산2동 자치회관,서울특별시 금천구 범안로 1240-7,37.46607783,126.8997789
주민센터,독산4동 자치회관,서울특별시 금천구 독산로 232,37.46755353,126.9021682
주민센터,세곡동 주민자치센터,서울특별시 강남구 밤고개로 286,37.46904926,127.1069125
주민센터,독산1동 자치회관,서울특별시 금천구 시흥대로 123길 11,37.47021905,126.8970437
주민센터,대학동 자치회관,서울특별시 관악구 신림로 111,37.47059604,126.9369573
주민센터,양재2동 자치회관,서울특별시 서초구 강남대로12길 44,37.47064502,127.0412829
주민센터,난곡동 자치회관,서울특별시 관악구 난곡로30길 40,37.47102189,126.9216418
주민센터,양재1동 자치회관,서울특별시 서초구 바우뫼로 41,37.47167106,127.0266688
주민센터,남현동 자치회관,서울특별시 관악구 남현1가길 29,37.47468786,126.9778753
주민센터,서림동 자치회관,서울특별시 관악구 신림로29길6,37.47499588,126.9349996
주민센터,인헌동 자치회관,서울특별시 관악구 남부순환로246가길 20,37.47509931,126.9653243
주민센터,독산3동 자치회관,서울특별시 금천구 독산로 317,37.47516041,126.9031745
주민센터,낙성대동 자치회관,서울특별시 관악구 낙성대로 4가길 5,37.47649632,126.9583326
주민센터,가산동 자치회관,서울특별시 금천구 가산로 129,37.47689182,126.8917817
주민센터,방배3동 자치회관,서울특별시 서초구 방배로 40,37.47843876,126.9999966
주민센터,개포4동 주민자치센터,서울특별시 강남구 개포로38길 12,37.47881995,127.0516585
주민센터,청룡동 자치회관,서울특별시 관악구 쑥고개로 44,37.4791175,126.9416407
