카테고리,기관명,주소,위도,경도
경찰소,을지지구대,서울특별시 중구  을지로 234,37.56647342,127.0039437
경찰소,광희지구대,서울특별시 중구  퇴계로 375-1,37.56526845,127.0133764
경찰소,약수지구대,"서울특별시 중구  동호로 5길 15, 약수지구대",37.55214428,127.0123821
경찰소,신당파출소,"서울특별시 중구  다산로 248 (신당동, 신당파출소)",37.56504427,127.016385
경찰소,장충파출소,서울특별시 중구  동호로 261,37.55876338,127.004802
경찰소,충무파출소,서울특별시 중구  퇴계로 178,37.5608716,126.9915808
경찰소,을지로3가파출소,서울특별시 중구 충무로56-1,37.56618152,126.9928483
경찰소,종로2가지구대,서울특별시 종로구  종로17길 4,37.57050222,126.9889229
경찰소,관수파출소,서울특별시 종로구 삼일대로15길 19 1층(임시파출소),37.5686968,126.9863455
경찰소,세검정파출소,서울특별시 종로구  세검정로 226,37.60002169,126.9584634
경찰소,평창파출소,서울특별시 종로구  평창문화로 46,37.60524867,126.9666273
경찰소,삼청파출소,서울특별시 종로구  삼청로 66,37.58140101,126.9811409
경찰소,통의파출소,서울특별시 종로구  효자로 9,37.57677089,126.9740067
경찰소,청운파출소,서울특별시 종로구  자하문로 92-1,37.58422788,126.9705839
경찰소,옥인파출소,서울특별시 종로구  자하문로17길 24,37.58147343,126.9694263
경찰소,교남파출소,서울특별시 종로구  송월길 152,37.57181358,126.9621992
경찰소,세종로파출소,서울특별시 중구  세종대로 141,37.56894725,126.9764297
경찰소,신문로파출소,서울특별시 종로구  경희궁길 6-3,37.57075526,126.9722339
경찰소,사직파출소,서울특별시 종로구  사직로9가길 6 1층(임시파출소),37.57656534,126.9690408
경찰소,청진파출소,서울특별시 종로구 우정국로 45-3 1층(임시파출소),37.57297127,126.9826619
경찰소,태평로파출소,서울특별시 중구  다동길 11,37.56800799,126.9799914
경찰소,서울역파출소,서울특별시 중구  통일로 13,37.55680858,126.9715661
경찰소,명동파출소,서울특별시 중구  명동길 30 명동파출소,37.56358957,126.9839685
경찰소,남대문파출소,서울특별시 중구  남대문시장4길 28-16,37.55901366,126.9763919
경찰소,중림파출소,서울특별시 중구  중림로 36,37.55788934,126.9671156
경찰소,회현파출소,서울특별시 중구  퇴계로6길 3-15,37.55844125,126.9787072
경찰소,서소문파출소,서울특별시 중구  서소문로 131-1 서소문파출소,37.56382651,126.9754669
경찰소,충정로지구대,서울특별시 서대문구  독립문로 25-1,37.56988437,126.9611093
경찰소,신촌지구대,서울특별시 서대문구  신촌역로 22,37.55855258,126.9430099
경찰소,홍은파출소,서울특별시 서대문구 세검정로1길 112,37.59524771,126.946424
경찰소,연희파출소,서울특별시 서대문구  연희로25길 73,37.57027551,126.9328491
경찰소,남가좌파출소,서울특별시 서대문구  가재울로4길 51,37.57604086,126.9240383
경찰소,북가좌파출소,서울특별시 서대문구  응암로1길 13,37.58132332,126.9105668
경찰소,홍제파출소,서울특별시 서대문구  통일로 441-1,37.58817073,126.9445533
경찰소,홍은2파출소,서울특별시 서대문구  연희로 298,37.58360533,126.9362112
경찰소,혜화파출소,서울특별시 종로구  창경궁로 279,37.5861084,127.0014075
경찰소,대학로파출소,서울특별시 종로구  이화장2길 33,37.57861171,127.0060453
경찰소,명륜파출소,서울특별시 종로구  성균관로 78,37.58927843,126.9975993
경찰소,창신파출소,서울특별시 종로구  지봉로13길 20-12,37.57849369,127.013542
경찰소,동묘파출소,서울특별시 종로구  종로58가길 19 동묘파출소,37.57269632,127.0171175
경찰소,덕산파출소,서울특별시 종로구  창신길 98,37.57598518,127.0105262
경찰소,종로5가파출소,서울특별시 종로구  동호로 407,37.57073671,127.0016317
경찰소,효제파출소,서울특별시 종로구  종로41나길 24-6,37.57294307,127.0048665
경찰소,원효지구대,서울특별시 용산구  백범로 329,37.5389038,126.9650122
경찰소,용중지구대,"서울특별시 용산구  후암로16나길 17, 용중지구대",37.54915904,126.9784794
경찰소,이태원파출소,서울특별시 용산구  이태원로 184,37.53431483,126.9944251
경찰소,한남파출소,"서울특별시 용산구  대사관로34길 53, 한남파출소",37.53108488,127.0063425
경찰소,보광파출소,"서울특별시 용산구  보광로 25-1, 보광파출소",37.52657725,127.0002088
경찰소,삼각지파출소,서울특별시 용산구  한강대로198-2,37.53611011,126.9747084
경찰소,한강로지구대,서울특별시 용산구  서빙고로67,37.52486281,126.9704127
경찰소,돈암지구대,서울특별시 성북구  아리랑로5길 54,37.59732258,127.0124034
경찰소,안암지구대,서울특별시 성북구  지봉로21길 45,37.58672153,127.0165984
경찰소,길음지구대,서울특별시 성북구  삼양로13길 51 길음지구대,37.6106064,127.0192657
경찰소,정릉파출소,서울특별시 성북구  솔샘로 111,37.61607297,127.0086028
경찰소,정릉2파출소,서울특별시 성북구  정릉로26길 6 정릉2파출소,37.60456095,127.0107204
경찰소,성북파출소,서울특별시 성북구  성북로 94  성북파출소,37.59327273,126.998472
경찰소,답십리지구대,서울시 동대문구 사가정로 2길 9,37.5712943,127.0510676
경찰소,용신지구대,서울특별시 동대문구  청계천로549,37.57284342,127.037209
경찰소,청량리파출소,서울특별시 동대문구 약령시로21길 15,37.58410673,127.0452724
경찰소,제기파출소,서울특별시 동대문구 약령시로 17길 59-11,37.58556267,127.0420264
경찰소,전농1파출소,서울특별시 동대문구 서울시립대로 56,37.57612945,127.0479381
경찰소,전농2파출소,서울특별시 동대문구 전농로38다길 21,37.58637309,127.0542292
경찰소,장안1파출소,서울특별시 동대문구 한천로20길 9,37.5696343,127.0650047
경찰소,장안2파출소,서울특별시 동대문구  답십리로 69길 100,37.57679364,127.0744038
경찰소,이문지구대,서울특별시 동대문구  한천로 402,37.59648386,127.0681153
경찰소,휘경파출소,서울특별시 동대문구  한천로 266,37.58467452,127.0680238
경찰소,회기파출소,서울특별시 동대문구  회기로18길 2,37.59108473,127.0518493
경찰소,서강지구대,"서울특별시 마포구  독막로22길 8(창전동, 서강지구대)",37.54734721,126.9293114
경찰소,공덕지구대,서울특별시 마포구 마포대로 195-1,37.55180946,126.9540398
경찰소,월드컵지구대,서울특별시 마포구  월드컵북로 30길 24,37.56873169,126.9090823
경찰소,홍익지구대,서울특별시 마포구  양화로11길 63,37.55187634,126.9134625
경찰소,용강지구대,서울특별시 마포구 토정로31길 35,37.54256134,126.9430834
경찰소,상암파출소,서울특별시 마포구  매봉산로 76,37.57828068,126.8938446
경찰소,망원파출소,서울특별시 마포구  망원로2길 63,37.55433943,126.9027335
경찰소,연남파출소,서울특별시 마포구  연남로 4,37.56033561,126.9237621
경찰소,중앙지구대,서울특별시 영등포구  영등포로46길 14,37.51801061,126.9075138
