sido,gu,dong,lat,lng
서울특별시,강남구,,37.517,127.047
서울특별시,강남구,신사동,37.523807,127.026492
서울특별시,강남구,논현1동,37.511498,127.028552
서울특별시,강남구,논현2동,37.517353,127.037164
서울특별시,강남구,압구정동,37.530734,127.028461
서울특별시,강남구,청담동,37.524399,127.050457
서울특별시,강남구,삼성1동,37.514315,127.062824
서울특별시,강남구,삼성2동,37.511399,127.046255
서울특별시,강남구,대치1동,37.493236,127.056687
서울특별시,강남구,대치2동,37.502252,127.064162
서울특별시,강남구,대치4동,37.49975,127.057747
서울특별시,강남구,역삼1동,37.495361,127.033058
서울특별시,강남구,역삼2동,37.49604,127.04679
서울특별시,강남구,도곡1동,37.490945,127.038475
서울특별시,강남구,도곡2동,37.483818,127.046346
서울특별시,강남구,개포1동,37.481925,127.057439
서울특별시,강남구,개포2동,37.489766,127.069056
서울특별시,강남구,개포4동,37.478833,127.051599
서울특별시,강남구,세곡동,37.464369,127.104583
서울특별시,강남구,일원본동,37.48336,127.08648
서울특별시,강남구,일원1동,37.491887,127.087982
서울특별시,강남구,일원2동,37.492172,127.073696
서울특별시,강남구,수서동,37.485881,127.096706
서울특별시,강남구,역삼동,37.500335,127.037596
서울특별시,강남구,개포동,37.47826,127.052024
서울특별시,강남구,청담동,37.523404,127.046858
서울특별시,강남구,삼성동,37.512792,127.053085
서울특별시,강남구,대치동,37.501711,127.057851
서울특별시,강남구,신사동,37.522893,127.028589
서울특별시,강남구,논현동,37.513093,127.031353
서울특별시,강남구,압구정동,37.528752,127.031766
서울특별시,강남구,세곡동,37.466494,127.103021
서울특별시,강남구,자곡동,37.476796,127.100387
서울특별시,강남구,율현동,37.47145,127.107251
서울특별시,강남구,일원동,37.491326,127.083799
서울특별시,강남구,수서동,37.485767,127.098137
서울특별시,강남구,도곡동,37.486509,127.040738
서울특별시,강동구,,37.53,127.146
서울특별시,강동구,강일동,37.567438,127.173364
서울특별시,강동구,상일동,37.550583,127.168797
서울특별시,강동구,명일제1동,37.53012,127.123858
서울특별시,강동구,명일제2동,37.53012,127.123858
서울특별시,강동구,고덕제1동,37.53012,127.123858
서울특별시,강동구,고덕제2동,37.53012,127.123858
서울특별시,강동구,암사제1동,37.53012,127.123858
서울특별시,강동구,암사제2동,37.53012,127.123858
서울특별시,강동구,암사제3동,37.53012,127.123858
서울특별시,강동구,천호제1동,37.53012,127.123858
서울특별시,강동구,천호제2동,37.53012,127.123858
서울특별시,강동구,천호제3동,37.53012,127.123858
서울특별시,강동구,성내제1동,37.53012,127.123858
서울특별시,강동구,성내제2동,37.53012,127.123858
서울특별시,강동구,성내제3동,37.53012,127.123858
서울특별시,강동구,길동,37.539616,127.145914
서울특별시,강동구,둔촌제1동,37.53012,127.123858
서울특별시,강동구,둔촌제2동,37.53012,127.123858
서울특별시,강동구,명일동,37.549276,127.147555
서울특별시,강동구,고덕동,37.561068,127.160582
